LIVERPOOL LORD STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ343902,Long,-2.9882,Lat,53.4053,Elevation,42,ft,,,,,,,,,,,,
Station no,RR1377,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,,,2.17,,,,,,,,
February,,,,,,,,,,,,2.45,,,,,,,,
March,,,,,,,,,,,,2.6,,,,,,,,
April,,,,,,,,,,,,-999,,,,,,,,
May,,,,,,,,,,,,-999,,,,,,,,
June,,,,,,,,,,,,2.8,,,,,,,,
July,,,,,,,,,,,,5.3,,,,,,,,
August,,,,,,,,,,,,5.28,,,,,,,,
September,,,,,,,,,,,,4.31,,,,,,,,
October,,,,,,,,,,,,8.36,,,,,,,,
November,,,,,,,,,,,,4.55,,,,,,,,
December,,,,,,,,,,,,4.67,,,,,,,,
Total,,,,,,28.02,29.51,30.1,32.77,33.57,37.68,49.55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1841 Apr/May bracketed,,,,,,,,,,,,,,,,,,,,
NGR for central crossorads Lord St and  N/S John St,,,,,,,,,,,,,,,,,,,,
