"POPLAR OLD FORD (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ374839,Long,-0.020282,Lat,51.537288,,,,,,,
Station no,55,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.36,1.75,0.85,1.18,2.12,3.41,1.34,2.03,,,,
February,5.29,0.84,1.44,2.11,1.44,0.30,3.00,2.46,,,,
March,3.00,2.38,0.45,1.90,1.05,0.94,1.28,1.18,,,,
April,2.71,0.91,2.37,0.21,0.28,1.22,0.23,1.70,,,,
May,1.65,0.85,1.17,1.78,4.21,0.55,1.11,2.39,,,,
June,1.03,2.07,1.72,2.87,2.23,2.27,1.14,5.08,,,,
July,1.63,0.60,3.47,2.91,0.56,3.87,3.48,2.35,,,,
August,3.70,2.94,1.97,3.02,1.10,4.21,2.07,3.85,,,,
September,3.47,2.68,1.95,1.88,2.20,2.21,2.21,3.72,,,,
October,0.89,2.20,3.42,2.14,2.88,1.67,2.09,2.23,,,,
November,4.54,3.92,0.83,3.42,0.37,0.32,2.15,1.80,,,,
December,1.64,1.99,0.47,1.39,1.60,2.84,1.42,2.90,,,,
Total,31.91,23.13,20.11,24.81,20.04,23.81,21.52,31.69,,,,
Calc annual,31.91,23.13,20.11,24.81,20.04,23.81,21.52,31.69,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,NaN,NaN,,
