STORNOWAY MIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NB428329,Long,-6.380333,Lat,58.209583,Elevation,24,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,7.29,5.83,5.39,5.17,2.22,3.05,1.3,4.83,3.59,9,3.99,6.25,7.76,4.1,5.58,7.16,4.67,3.15,2.36,6.39,4.51,5.66,2.28,4.94,8.17,6.15,2.87,5.41,6.23,5.55,5.8,6.67,3.3,5.75,6.15,6.79,3.65,3.63,3.5,6.23,7.54,8.46,4.24,5.47,4.89,8.77,8.15,5.82,6.57,4.56,5.82,5.47,7.27,10.56,1.85,6.62,7.64,10.45,,,,,,,,
February,,,,,,2.37,4.76,6.44,2.35,1.69,4.46,3.54,3.67,4.13,4.48,5.68,2.6,5,2.46,4.84,0.76,3.32,1.99,2.4,7.93,1.47,4.23,3.66,8.03,3.71,4.52,3.36,3.9,7.12,4.74,6.12,7.95,4.83,5.89,2.27,5.26,5.16,5.34,3.39,6.54,5.87,6.03,1.26,5.83,2.21,7.44,2.52,5.36,4.12,3.04,5.38,3.23,2.13,5.48,1.44,0.74,6.97,0.59,,,,,,,,
March,,,,,,1.23,5.71,3.39,3.59,3.9,0.92,3.37,6.27,3.2,4.04,4.26,2.68,2.85,3.97,2.78,4.37,4.49,1.21,1.84,3.97,3.37,5.63,6.02,5.43,6.38,1.39,3.51,5.22,8.06,2.82,5.36,1.54,2.99,6.19,2.84,3.5,3.17,5.17,6.52,5.1,4.13,2.99,3.1,2.81,5.86,5.01,6.69,3.13,1.27,4.41,3.93,4.34,2.82,3.48,1.23,3.07,1.53,2.95,,,,,,,,
April,,,,,,1.96,3.68,1.77,0.93,1.13,2.06,1.1,3.22,1.1,1.54,1.64,2.89,4.64,3.94,2.46,3.79,0.41,1.15,1.12,0.84,3.15,3.36,2.29,4.67,4.82,3.61,3.12,2.59,3.47,6.79,2.95,1.8,2.28,2.88,3.07,6.42,4.32,3.94,3.47,3.39,3.99,3.82,3.34,0.95,4.24,2.96,2.5,2.56,2.98,2.87,3.79,2.32,6.47,2.44,1.59,1.99,3.35,3.87,,,,,,,,
May,,,,,,3.68,1.58,3.52,2.24,1.95,1.91,2.76,1.79,3.44,4.94,3.34,1.62,1.75,3.79,4.36,0.58,1.54,3.45,1.51,1.81,1.68,1.51,3.02,3.1,2.4,3.17,1.05,3,2.25,2.5,1.64,3.82,2.78,2.57,3.02,3.3,2.63,2.78,3.32,2.19,1.2,3.54,2.48,2.14,1.61,5.21,3.02,4.86,3.21,3.06,3.67,3.45,1.81,1.81,2.22,2.48,3.68,1.5,,,,,,,,
June,,,,,,2.82,3.92,5.2,2.43,1.2,1.7,3.65,3.42,1.23,1.81,3.87,1.82,1.51,1.83,0.9,3.88,2.68,1.99,1.24,1.45,3.36,3.66,0.45,1.97,2.55,3.24,3.07,2.11,1.78,2.15,1.45,1.6,4.44,2.38,2.21,2.49,1.7,3.18,3.58,1.53,1.18,2.05,3.55,3.28,5.42,1.51,1.76,2.73,2.64,3.33,0.98,2.05,3.76,3.3,3.26,2.6,3.16,1.56,,,,,,,,
July,,,,,,2.5,2.24,4.03,1.62,3.23,1.36,3.4,3.3,2.77,3.09,3.1,3.65,4.4,1.57,1.58,3.94,1.53,1.91,3.39,6.83,3.86,3.58,1.73,2.54,2.74,4.12,1.96,2.64,4.24,2.17,2.7,4,2.66,1.37,3.07,3.08,5.29,2.65,0.86,3.39,2.87,1.73,1.73,4.76,2.43,2.77,3.21,2.56,3.8,4.84,2.08,1.86,3.92,3.05,2.91,1.43,2.07,2.81,,,,,,,,
August,,,,,,3.75,2.47,2.98,1.46,5.58,0.7,3.22,2.89,4.77,4.09,1.36,3.28,3.06,5.86,5.05,4.4,3.38,4.07,5.27,5.05,4.53,7.09,2.83,5.46,1.18,1.89,4.44,2.5,8.53,5.26,4.76,2.07,5,2.82,2.66,5.91,3.92,5.59,1.66,2.99,2.16,1.1,4.39,6.83,4.45,2.25,3.31,4.61,5.32,4.74,3.16,4.06,2.72,2.19,5.83,4.8,1.38,4.58,,,,,,,,
September,,,,,,1.99,2.28,1.76,4.19,5.55,3.38,1.7,2.6,2.95,3.99,7.1,4.57,3.73,2.69,4.51,4.02,3.98,4.54,7.92,0.47,3.15,5.41,5.58,5.18,8.45,7.93,3.21,2.72,3.03,4.14,5.08,0.89,2.68,6.31,1.87,2.25,3.6,1.77,2.46,4.74,3.14,2.72,6.08,7.22,5.12,4.26,4.64,2.76,4.95,5.25,3.88,6.62,6.12,3.03,6.19,2.79,1.66,4.76,,,,,,,,
October,,,,,,3.51,5.12,7.93,4.96,3.24,4.81,2.73,3.54,6.66,5.89,6.23,4.29,5.35,7.08,2.67,8.89,9.38,4.36,6.37,3.24,6.16,7.26,3.43,5.58,5.04,8.46,6.23,6.47,8.41,5.4,3.82,2.01,2.73,2.78,8.08,3.31,3.4,5.51,6.32,2.25,1.86,5.67,9.8,5.67,3.86,2.66,4.78,3.07,7.45,4.96,4.73,5.75,7.37,5.07,7.61,7.91,5,5.38,,,,,,,,
November,,,,,,4.39,2.84,8.02,3.19,3.33,5.5,6.09,5.29,7.09,7.22,2.99,5.73,3.58,6.36,4.11,6.81,4.84,5.77,7.11,6.04,4.09,6.27,5.79,9.85,8.63,5.99,3.91,3.82,5.82,6.45,4.79,5.91,5,6.58,5.95,5.98,5.72,7.13,6.66,5.38,5.14,5.63,7.1,5.23,5.78,8.53,3.23,3.74,7.29,4.14,4.34,5.04,5.47,6.75,5.86,5.87,4.88,4.59,,,,,,,,
December,,,,,,4.51,2.52,6.79,3.71,4.98,3.83,6.26,4.51,6.37,5.66,6.93,8.84,5.16,6.16,5.65,1.39,6.31,2.56,7.53,7.05,4.97,5.37,8.16,14.87,5.79,12.04,6.02,5.92,3.13,7.75,6.27,3.95,5.07,7.08,5,4.74,5.74,8.05,5.25,6.24,6.97,5.24,3.35,5.82,6.51,4.99,8.66,5.88,5.57,9.23,5.74,5.27,1.17,5.53,7.69,5.44,5.69,3.84,,,,,,,,
Total,,,,,,40,42.95,57.22,35.84,38,33.68,39.12,45.33,47.3,55.75,50.49,48.22,48.79,49.81,44.49,49.99,46.53,36.15,48.06,51.07,44.3,59.03,45.24,71.62,59.86,62.51,42.75,46.3,62.07,55.72,50.74,42.21,43.76,52.6,46.19,53.03,48.3,54.74,46.99,49.97,46.05,48.98,50.42,56.01,52.38,56.36,52.47,47.08,55.17,54.43,47.5,49.46,51.03,52.69,47.68,45.74,47.01,46.88,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_26_pt1-page-076.csv,,,,Partial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
