STORNOWAY CG LOOKOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NB 444 307,Long,-6.35137,Lat,58.1911,Elevation,79,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5796,,,,,,,,,,,,,,,,,,,,,5796,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,,,5.67,6.4,5.03,2.85,4.79,7.11,4.86,2.53,3.13,4.4,,,,,,,,
February,,,,,,,,,,,,,,3.43,2.59,4.58,2.24,4.16,3.56,5.43,1.91,4.09,3.29,,,,,,,,
March,,,,,,,,,,,,,,2.18,3.02,3.77,1.57,1.96,4.32,4.08,2.22,1.39,2.65,,,,,,,,
April,,,,,,,,,,,,,,2.85,3.73,2.31,1.96,1.78,0.85,2.57,3.88,1.54,1.19,,,,,,,,
May,,,,,,,,,,,,,,0.92,2.61,1.66,1.18,2.65,2.85,1.2,1.67,0.98,1.53,,,,,,,,
June,,,,,,,,,,,,,,2.05,1.89,2.66,0.91,3.43,4.62,1.3,1.63,0.57,2.25,,,,,,,,
July,,,,,,,,,,,,,,2.49,5.21,2.44,3.41,1.6,2.67,5.66,4.71,3.86,4.75,,,,,,,,
August,,,,,,,,,,,,,,6.08,4.71,3.63,3.2,4.05,4.52,2.53,3.21,5.19,3.97,,,,,,,,
September,,,,,,,,,,,2.38,,,0.9,5.51,6.76,4.41,4.41,4.19,2.74,3.64,1.71,4.54,,,,,,,,
October,,,,,,,,,,,7.25,,,4.8,6.65,7.53,5.02,2.32,8.66,3.28,4.4,3.91,6.02,,,,,,,,
November,,,,,,,,,,,5.34,,,1.78,2.35,3.32,4.36,2.23,5.72,6.36,5.74,4.3,,,,,,,,,
December,,,,,,,,,,,4.87,,,1.59,3.49,2.77,7.76,2.4,4.41,2.97,4.68,4.17,,,,,,,,,
Total,,,,,,,,,,,,,,34.74,48.16,46.46,38.87,35.78,53.48,42.98,40.22,34.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_27_pt1-page-169.csv,,,,Discarded csv is blank but has typed description on back,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_27_pt1-page-170.csv,,,,Discarded csv is blank but has typed descriptionof site,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
