WINFORD-UPPER-LITTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST550641,Long,-2.647889,Lat,51.374162,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1979/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.98,3.89,5.46,6,5.7,2.69,3.85,3.3,6.08,2.71,2.43,3.41,2.41,7.6,1.15,0.82,4.37,3.31,0.84,2.56,3.3,4.86,,,,
February,,,,,2.95,2.71,6.21,1.73,2.42,2.95,3.48,0.29,2.39,1.2,4.11,3.57,1.24,2.29,1.87,6.94,5.04,0.96,1.69,4.29,2.08,0.28,,,,
March,,,,,0.66,3.1,3.88,0.46,1.63,3.16,3.99,2.44,1.14,0.42,1.31,1.05,6.26,2.05,1.78,1.87,4.04,3.53,0.91,4.05,1.44,1.7,,,,
April,,,,,4.73,2.6,2.72,0.31,3.66,2.33,1.44,1.09,1.45,2.74,0.99,2.38,3.14,1.96,2.12,3.02,4.34,1.88,3.22,0.86,1.31,,,,,
May,,,,,1.11,1.76,3.07,1.98,0.99,2.89,2.12,5.24,3.09,1.45,3.73,4.48,2.97,4.37,4.35,2.27,3.19,4.14,1.88,2.57,4.48,,,,,
June,,,,,5.2,3.42,1.4,1.65,2.55,1.04,2.98,0.28,1.88,3.72,4.55,4.05,1.92,3.05,0.51,2.45,1.07,3.87,2,5.04,3.03,,,,,
July,,,,,1.53,6.14,3.42,3.66,4.7,6.82,1.69,2.86,2.61,2.91,1.72,1.61,3.27,1.97,1.44,5.94,1.08,0.96,4.21,4.92,0.22,,,,,
August,,,,,1.74,0.58,1.07,4.03,3.84,0.36,7.18,4.82,4.44,3.53,2.38,5.48,0.99,5.44,2.58,6.85,6.51,6.46,4.66,3.21,0.56,,,,,
September,,,,,6.76,3.65,2.11,3.43,1.31,2.63,0.55,2.2,2.54,4.38,2.57,5.54,2.33,3.19,2.27,6.48,3.08,4.15,4.57,6.38,2.09,,,,,
October,,,,,7.47,1.97,3.57,7.27,3.2,4.43,2.14,5.83,3.17,5.47,4.45,1.17,0.59,4.96,7.34,2.09,1.19,5.18,2.35,4.4,1.58,,,,,
November,,,,,7.08,4,1.93,5.67,8.99,9.75,2.15,1.77,2.71,6.5,0.48,6.7,3.04,2.22,4.46,7.26,8.89,4.2,2.68,7.47,4.24,,,,,
December,,,,,4.14,3.76,2.04,3.83,2.74,2.25,2.24,3.91,2.38,3.91,5.82,3.9,3.51,6.06,2.51,2.43,2.86,2.96,1.27,2.85,4.64,,,,,
Total,,,,,44.35,37.58,36.88,40.02,41.73,41.3,33.81,34.03,33.88,38.94,34.54,43.34,31.67,45.16,32.38,48.42,45.66,41.6,30.28,48.6,28.97,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 1 Inspection Gauge sound Measure certified Site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Gauge abandoned mid April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
