"BOLTON W.W. (ENTWISTLE)",,,,,,,,,,,,
Grid ref,SD724173,Long,-2.419039,Lat,53.651465,,,,,,,
Station no,RR1579,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.70,5.57,2.42,5.44,3.35,6.54,4.51,5.11,3.87,7.81,,
February,3.71,2.29,1.83,4.19,2.85,1.28,3.99,9.01,0.86,4.45,,
March,5.70,3.10,3.08,3.53,2.52,1.93,4.75,2.65,2.48,1.59,,
April,3.11,4.70,3.80,1.09,3.65,3.49,0.96,2.00,3.88,3.66,,
May,2.33,2.98,2.74,3.39,5.46,2.32,2.25,5.72,1.46,2.81,,
June,1.68,4.76,3.23,4.15,4.20,3.23,2.54,4.38,3.09,1.62,,
July,4.07,2.85,7.38,8.59,1.46,7.24,7.71,4.38,5.49,10.20,,
August,5.97,6.27,5.57,7.32,1.88,13.50,7.95,4.95,0.56,6.52,,
September,4.30,5.75,6.00,6.65,5.21,4.35,9.35,5.34,0.46,4.08,,
October,0.81,6.06,2.39,10.55,3.26,3.98,8.26,5.83,6.19,5.55,,
November,9.91,3.35,6.88,8.92,2.97,2.22,2.58,2.46,6.06,9.05,,
December,11.63,5.30,2.33,8.33,7.22,5.26,6.57,5.43,11.23,6.38,,
Total,58.92,52.98,47.65,72.15,44.03,55.34,61.42,57.76,45.63,63.72,,
Calc annual,58.92,52.98,47.65,72.15,44.03,55.34,61.42,57.26,45.63,63.72,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,-0.00,0.00,,
