"ECCLEFECHAN, KNOCKHILL",,,,,,,,,,
Grid ref,NY166739,Long,-3.3070087,Lat,55.052564,Elevation,150,ft,,
Station no,RR7317,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.17,3.28,3.07,3.25,5.2,2.57,,
February,,,1.99,1.89,4.17,7.05,3.05,1.1,,
March,,,4.25,3.15,4.57,1.75,1.66,1.86,,
April,,,0.37,3.67,0.56,2.3,2.49,2.25,,
May,,,1.3,3.4,2.2,1.61,2.97,2.94,,
June,,,4.93,2.69,0.67,0.73,2.88,2.37,,
July,,,3.23,1.12,3.49,5.26,4.73,1.95,,
August,,,5.31,1.81,4.56,2.56,3.19,6.8,,
September,,,2.16,2.48,1.82,1.18,2.19,4.46,,
October,,,4.53,3.05,1.18,2.29,7.78,6.14,,
November,,,3.28,5.03,3.32,1.52,4.87,3.26,,
December,,,5.2,2.09,6.31,5.96,4.15,2.58,,
Total,,,39.72,33.66,35.92,35.46,45.16,38.28,,
