SWANINGTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TG133192,Long,1.1574518,Lat,52.728358,Elevation,90,ft,,,,,,,,,,,,
Station no,RR8024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.65,3.14,1.66,2.76,2.39,1.93,2.96,1.6,,,
February,,,,,,,,,,0.56,1.79,1.92,1.11,0.68,1.46,3.23,3.58,,,
March,,,,,,,,,,2.5,0.71,2.79,2.54,2.03,3.51,1.67,3.63,,,
April,,,,,,,,,,1.24,1.65,0.94,0.23,2.04,0.51,0.83,1.68,,,
May,,,,,,,,,,1.5,3.33,1.01,1.53,1.14,1.01,1.67,2.44,,,
June,,,,,,,,,,2.63,1.78,2.77,2.49,1,1.74,0.76,3.24,,,
July,,,,,,,,,,3.43,3.73,0.34,4.46,2.06,1.58,3.68,1.69,,,
August,,,,,,,,,,2.78,2.2,0.55,9.2,1.13,1.26,2.11,3.76,,,
September,,,,,,,,,,1.59,1.45,2.33,2.66,1.84,1.08,1.62,1.74,,,
October,,,,,,,,,,3.84,1.16,2.54,2.32,3.55,2.3,1.74,2.67,,,
November,,,,,,,,,,1.66,4.25,3.36,3.6,1.81,2.76,3.14,3.01,,,
December,,,,,,,,,,4.79,3.96,3.22,2.33,0.61,7.04,3.63,3.09,,,
Total,,,,,,,,,,27.17,29.15,23.43,35.23,20.28,26.18,27.04,32.13,,,
