SWANINGTON RECTORY,,,,,,,,,,,,
Grid ref,TG131193,Long,1.154560,Lat,52.729334,,,,,,,
Station no,RR8024,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.65,,
February,,,,,,,,,,0.56,,
March,,,,,,,,,,2.50,,
April,,,,,,,,,,1.24,,
May,,,,,,,,,,1.50,,
June,,,,,,,,,,2.63,,
July,,,,,,,,,,3.43,,
August,,,,,,,,,,2.78,,
September,,,,,,,,,,1.59,,
October,,,,,,,,,,3.84,,
November,,,,,,,,,,1.66,,
December,,,,,,,,,,4.79,,
Total,,,,,,,,,,27.17,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.17,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
