"KENDAL, BURNESIDE",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD517942,Long,-2.7444219,Lat,54.341052,Elevation,165,ft,,,,,,,,,,,,,
Station no,3720,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,7.56,6.8,15.1,2.22,10.45,5.78,9.59,5.89,8.1,2.65,6.59,,,,
February,,,,,,,8.19,4.46,7.37,1.78,0.53,5.76,0.09,4.75,0.3,8.25,2.43,,,,
March,,,,,,,3.28,5.35,5.6,1.33,3.54,0.96,3.71,4,2.97,1.81,3.26,,,,
April,,,,,,,2.3,3.09,2.32,2.5,2.49,2.8,4.62,2.42,4,4.89,0.83,,,,
May,,,,,,,2.12,2.69,0.68,3.35,2.17,3.35,5.12,2.62,4.85,0.47,1.02,,,,
June,,,,,,,3.9,3.94,7.42,2.65,2.87,7.36,2.62,2.7,3.64,6.17,4.41,,,,
July,,,,,,,4.85,5.37,8.54,5.88,3.85,7.04,6.76,3.5,2.02,2.39,5.42,,,,
August,,,,,,,4.59,7.31,8.42,8.57,6.33,4.3,1.87,3.67,4.5,3.74,3.87,,,,
September,,,,,,,5.11,8.3,4.43,2.81,3.45,2.19,7.07,1.3,7.41,9.55,6.38,,,,
October,,,,,,,4.26,5.97,8.57,7.58,10.29,5.06,8.92,5.97,8.81,8.34,5.28,,,,
November,,,,,,,8.26,7.4,9.94,11.73,6.62,12.26,4.83,2.21,1.13,5.85,5.97,,,,
December,,,,,,,1.46,1.15,5.55,10.06,6.2,5.46,7.44,1.18,9.29,3.91,8.91,,,,
Total,,,,,,,55.88,61.83,83.94,60.46,58.79,62.32,62.64,40.21,57.02,58.02,54.37,,,,
