PIKENAZE-MOOR-AUDERNSHAW-CLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE114004,Long,-1.8296118,Lat,53.500176,Elevation,1148,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2755/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.95,5.6,9,7.7,10.3,2.7,3.48,4.12,7.36,9.82,6.26,6.57,4.13,13.47,4.42,3.14,6.11,6.9,3.5,5.59,4.54,7.85,4.18,5.68,5.85,7.54
February,,,,,9.69,3,8.05,3.95,6.65,3.64,7.4,3.24,4.74,3.26,6.14,10.11,3.34,4.96,3.61,7.24,5.62,,3.3,4.2,3.4,,4.26,8.14,0.7,3.52
March,,,,,3.95,4.25,5.1,2.9,4.7,4.5,9.2,2.43,2.57,1.46,1.83,2.83,8.5,1.73,3.22,2.52,6.78,3.26,3.44,3.3,4.2,2.87,4.05,3.97,2.75,2.78
April,,,,,4.87,3.03,3.8,1,3.95,5.15,4.8,3.38,3.54,3.72,2.82,2.74,5.83,2.97,6.68,6.31,2.56,3.38,4.6,1.28,3.03,3.94,0.79,2.13,5.4,3.25
May,,,,,0.96,2.35,3.25,5.1,3.3,1,3.9,4.26,3.86,4.94,4.19,2.59,4.2,2.68,3.35,3.38,3.81,,3.2,4.99,5.56,1.64,,4.98,2.45,3.15
June,,,,,3.85,5.25,2.5,5.75,3.5,1.25,2.12,1.34,4.17,3.78,5.37,5.02,3.51,6.74,1.24,2.88,1.45,,4.43,3.2,4.46,,1.81,5.12,2.26,2.35
July,,,,,3.2,5.21,4.2,6.2,8.85,6.05,3.04,7,2.93,3.43,1.73,6.55,3.09,2.19,3.4,3.48,4.02,3.45,7.67,7.42,1.27,7.16,6.08,5.17,4.51,8.8
August,,,,,2.4,2.7,1.9,3.55,2.55,3.45,7.95,6.32,7.43,4.74,3.7,5.52,0.43,5.32,3.76,4.46,5.53,3.88,5.55,8.12,1.43,12.7,7.53,4.58,0.72,6.96
September,,,,,7.78,8.3,1.7,2.6,2.7,5.6,0.91,4.39,5.86,7.37,3.45,8.68,2.55,2.75,2.12,-999,3.26,6.5,3.73,6.48,2.7,4.65,8.33,4.64,0.24,4.62
October,,,,,11.22,9.95,4.07,10.02,3.05,5.51,7.17,9.71,3.06,5.57,7.96,2.33,1.63,4,4.57,-999,1.34,8.1,2.84,8.54,4,4.04,6.31,4.75,4.65,8.99
November,,,,,10.2,9.35,3.35,6.75,9.9,11.4,4.9,2.03,5.32,9.53,1.11,11.06,8.41,2.91,9.96,7.23,11.2,4.75,4.04,8.61,2.71,3.68,4.33,1.81,6.3,7.42
December,,,,,5.2,5.5,5.7,6.4,5.25,6.65,4.23,5.44,2.96,5.52,3.54,5.04,8.06,3.5,9.64,3.9,9.5,5.35,2.8,10.01,7.9,6.9,8.07,6,8.7,6.2
Total,,,,,68.27,64.49,52.62,61.92,64.7,56.9,59.1,53.66,53.8,63.14,48.1,69.04,53.68,53.22,55.97,55,61.18,,49.1,71.74,45.2,,,56.97,44.53,65.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11888 PIKENAZE MOOR Start 1935 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Audernshaw Clough. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 1947 estimated for snow, left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
