HADLOW-SEWAGE-WORKS,,,,,,,,,,
Grid ref,TQ631491,Long,0.334007,Lat,51.217806,Elevation,77,ft,,
Station no,347/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.01
February,,,,,,,,,,2.45
March,,,,,,,,,,1.69
April,,,,,,,,,,0.97
May,,,,,,,,,,1.97
June,,,,,,,,,,2.2
July,,,,,,,,,,3
August,,,,,,,,,,4.19
September,,,,,,,,,,3.03
October,,,,,,,,,,6.53
November,,,,,,,,,,4.91
December,,,,,,,,,,3.13
Total,,,,,,,,,,37.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1959 values are unreadable and appear to have been snopaked so all removed.,,,,,,,,,,
