PETERSFIELD-TOWN-HALL,,,,,,,,,,
Grid ref,SU750234,Long,-0.932437,Lat,51.005108,Elevation,210,ft,,
Station no,729/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,4.34
March,,,,,,,,,,2.11
April,,,,,,,,,,1.21
May,,,,,,,,,,1.18
June,,,,,,,,,,2.57
July,,,,,,,,,,4.15
August,,,,,,,,,,5.56
September,,,,,,,,,,4.58
October,,,,,,,,,,9.97
November,,,,,,,,,,8.05
December,,,,,,,,,,5.52
Total,,,,,,,,,,
,,,,,,,,,,
Unknown location so NGR from sheet,,,,,,,,,,
Sheet has elevation as 240ft but this is too high and MIDAS has 200ft which is closer,,,,,,,,,,
1960 Jan 18 Station started,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7380,,,,,,,,,,
1960-1973,,,,,,,,,,
