MORPETH,,,,,,,,,,
Grid ref,NZ220847,Long,-1.6562883,Lat,55.156147,Elevation,163,ft,,
Station no,RR4817,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.82,,,,,,
February,,,,0.52,,,,,,
March,,,,2.83,,,,,,
April,,,,2.95,,,,,,
May,,,,2.11,,,,,,
June,,,,1.86,,,,,,
July,,,,0.44,,,,,,
August,,,,1.3,,,,,,
September,,,,3.05,,,,,,
October,,,,1.42,,,,,,
November,,,,1.5,,,,,,
December,,,,1.06,,,,,,
Total,,,,21.86,,,,,,
,,,,,,,,,,
"observers Temple and Sons; agricultural merchants Red House Farm, Hescott",,,,,,,,,,
