"MORPETH",,,,,,,,,,,,
Grid ref,NZ196859,Long,-1.693869,Lat,55.167030,,,,,,,
Station no,RR4817,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.83,2.00,1.01,,2.17,0.52,2.67,0.45,1.71,1.22,,
February,5.40,2.00,1.51,,2.53,0.96,0.89,1.53,1.64,1.24,,
March,1.98,2.71,1.36,,1.67,1.79,1.08,1.17,3.50,3.35,,
April,1.33,1.09,1.26,,1.49,2.82,0.67,1.40,2.87,2.72,,
May,1.74,3.35,3.04,,2.64,0.84,4.92,4.06,1.90,1.96,,
June,4.11,1.56,2.23,,2.28,0.47,1.63,3.04,0.48,2.00,,
July,2.64,2.42,2.98,,1.31,1.21,1.66,1.85,2.60,2.24,,
August,5.40,2.77,1.82,,2.87,3.56,3.94,1.79,2.27,3.11,,
September,1.08,1.14,0.94,,1.41,1.23,0.51,0.45,2.39,1.98,,
October,4.77,2.17,2.05,,0.55,3.33,5.68,5.45,1.96,2.48,,
November,3.96,4.03,1.33,,4.87,5.01,3.12,1.96,1.66,0.64,,
December,2.28,5.02,4.44,,1.78,0.50,3.33,3.45,1.57,3.75,,
Total,38.52,30.26,23.97,,25.57,22.24,30.10,26.60,24.55,26.69,,
Calc annual,38.52,30.26,23.97,0.00,25.57,22.24,30.10,26.60,24.55,26.69,,
Difference,0.00,0.00,-0.00,NaN,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
