FARNHAM-LONGLEY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU847464,Long,-0.78813,Lat,51.21064,Elevation,280,ft,,,,,,,,,,,,
Station no,197/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.81,5.56,6.53,3.33,5.5,3.08,2.92,3.32,6.56,2.07,2.26,,,,,
February,,,,,3.54,2.43,5.09,0.57,1.43,2.85,2.92,1.12,1.67,0.81,2.55,,,,,
March,,,,,0.42,2.02,4.49,0.2,1.31,3.23,3.87,1.93,0.47,0.28,0.77,,,,,
April,,,,,3.7,1.95,2.47,0.09,2.44,1.66,1.44,1.84,1.25,1.19,1.59,,,,,
May,,,,,1.17,1.16,3.47,1.41,1.46,1.01,2.3,3.31,2.69,0.48,1.52,,,,,
June,,,,,3.17,3.79,1.51,0.59,1.56,0.88,1.64,0.32,1.51,2.09,2.37,,,,,
July,,,,,1.32,3.62,0.9,1.96,2.69,2.48,2.35,1.9,1.78,1.78,5.05,,,,,
August,,,,,2.97,1,1.45,1.81,1.66,0.03,5.61,3.28,1.76,1.33,1.19,,,,,
September,,,,,4.33,2.47,3.26,1.23,1.52,1.94,0.14,1.48,2.06,2.72,2.61,,,,,
October,,,,,4.04,2,2.89,3.15,4.7,4.29,1.19,3.29,3.1,4.53,4.04,,,,,
November,,,,,6.3,3.37,2.53,4.58,5.51,8.57,3.35,2.09,1.89,4.65,0.37,,,,,
December,,,,,3.4,3.6,4.65,4.18,1.46,1.56,2.12,4.05,1.87,2.65,4.07,,,,,
Total,,,,,35.17,32.97,39.24,23.1,31.24,31.58,29.85,27.93,26.61,24.58,28.39,,,,,
,,,,,,,,,,,,,,,,,,,,
Abbotsham Longley Rd,,,,,,,,,,,,,,,,,,,,
House not found but in middle of road and north side matches elevation,,,,,,,,,,,,,,,,,,,,
Gauge 10 in above ground,,,,,,,,,,,,,,,,,,,,
1938 Oct 19 Inspection Site satisfactory,,,,,,,,,,,,,,,,,,,,
1938 Nov 1 Gauge raised to 1ft above ground,,,,,,,,,,,,,,,,,,,,
