BRADFORD HEATON RESERVOIR,,,,,,,,,,,,
Grid ref,SE154353,Long,-1.767595,Lat,53.813760,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.43,1.99,1.69,2.17,3.24,1.16,4.25,1.42,1.82,1.54,,
February,5.03,1.65,1.59,3.34,3.72,1.49,2.37,1.77,2.03,1.83,,
March,0.81,2.74,1.51,4.41,2.30,2.46,2.58,2.39,3.20,3.14,,
April,1.39,2.32,1.80,1.37,1.71,2.66,0.90,1.78,2.31,2.86,,
May,1.14,1.08,2.46,2.99,3.33,1.06,3.12,3.65,2.12,2.37,,
June,2.58,0.54,1.70,1.13,1.61,1.69,2.00,3.93,1.33,3.19,,
July,4.55,1.58,2.35,3.61,2.47,1.49,2.26,3.15,3.20,3.11,,
August,4.93,1.56,3.22,3.23,3.60,4.48,3.04,2.22,2.41,3.01,,
September,0.56,1.32,1.48,4.40,0.54,1.57,0.53,0.67,2.62,2.94,,
October,4.17,1.73,3.45,9.66,0.65,2.34,5.58,5.16,2.09,2.77,,
November,3.72,4.35,2.52,1.77,2.09,2.24,3.36,3.33,2.12,0.84,,
December,3.67,5.73,3.58,2.01,2.16,0.51,2.59,3.39,2.32,3.99,,
Total,36.98,26.59,27.35,40.09,27.42,23.15,32.58,32.86,27.57,31.59,,
Calc annual,36.98,26.59,27.35,40.09,27.42,23.15,32.58,32.86,27.57,31.59,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
