BRADFORD-HEATON-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE154353,Long,-1.767595,Lat,53.81376,Elevation,530,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,3.35,3.01,3.91,1.08,4.34,3.71,1.21,0.28,0.28,3.84,4.98,5.47,1.94,4.19,1.49,1.11,1.11,4.1,2.01,2.12,1.06,3.81,4.52,0.95,2.51,1.91,5.22,4.54,2.07,1.73,2.42,3.46,1.27,4.43,1.52,1.97,1.66,3.94,1.21,5.64,3.63,2.08,4.51,2.39,2.67,2.78,4.31,3.86,5.43,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.69,1.25,0.86,3.47,2.81,1.35,2.81,3.14,4.43,2.31,1.8,3.02,1.97,0.83,0.74,0.83,1.94,1.11,0.07,3.08,3.49,6.2,0.45,1.05,2.9,2.86,2.02,4.85,1.75,1.64,3.43,3.87,1.62,2.49,1.83,2.22,0.91,2.41,3.46,2.27,1.08,2.47,4.16,5.19,0.64,4.42,2,2.62,0.07,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,3.27,3.38,0.61,4.22,4.17,1.42,1.49,3.23,3.68,2.94,1.31,2.04,1.87,2.21,1.75,4.04,2.83,2.41,1.73,1.12,0.78,2.84,2.88,3.97,4.38,1.29,1.63,0.86,2.73,1.51,4.57,2.42,2.73,2.56,2.52,3.4,3.3,0.57,1.14,4.51,4.28,3.58,0.98,4.47,3.26,1.61,5.64,2.63,1.97,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.47,2.04,1.11,2.56,3.6,2.14,2.15,1.68,1.82,4.41,3.49,2,1.74,2.37,0.74,3.02,3.14,0.98,1.64,1.41,0.75,2.8,2.8,1.6,2.32,2.91,2.32,1.42,2.4,1.88,1.47,1.85,2.89,0.96,1.9,2.39,3.03,2.98,1.09,0.55,3.61,1.39,1.31,1.78,2,0.81,1.99,4.04,1.28,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.16,1.21,3.4,0.69,2.93,5.64,1.79,2.46,1.7,0.95,0.86,1.61,2.77,5.44,1.89,0.97,2.74,3.2,2.86,3.29,2.38,1.66,0.38,0.5,1.21,2.23,3.51,1.15,1.19,2.54,3.08,3.51,1.07,3.24,3.77,2.22,2.47,2.11,1.01,3.02,2.58,1.1,2.58,2.71,2.85,3.49,2.07,3.78,1.29,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.12,2.43,2.67,2.37,1.89,3.22,5.19,2.28,2.52,3.74,3.7,1.44,3.38,1.48,0.02,2.48,0.26,3.65,1.34,4.29,2.14,2.88,3.25,3.57,3.94,2.05,1.53,2.6,0.71,1.75,1.19,1.73,1.74,2.06,4.16,1.36,3.3,3.77,3.16,6.31,1.41,2.81,2.52,2.2,2.01,1.23,0.84,2.06,0.05,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.5,2.48,4.05,1.9,3.89,1.25,3.65,5.66,4.2,3.77,3.59,4.4,0.98,4.81,1.54,5.16,2,2.03,2.43,2.56,5.87,3.93,5.64,2.07,0.91,0.71,1.48,4.9,1.68,2.42,3.8,2.67,1.53,2.36,3.32,3.27,3.33,3.3,0.19,4,0.76,4.17,4.54,2.59,1.21,6.21,3.46,7.04,1.52,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.48,3.29,5.23,2.52,4.96,7.99,3.44,1.43,4.66,1.7,2.96,1,1.05,1.63,1.74,2.67,3.66,4.8,5.73,2.83,2.33,3.25,3.2,1.79,3.53,3.14,1.85,5.05,1.65,3.32,3.4,3.77,4.6,3.15,2.28,2.52,3.1,4.49,2.13,6.02,1.51,2.43,4.15,2.2,6.14,1.91,2.4,1.7,4.05,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.48,2.52,4.02,3.49,3.34,3.92,1.48,3.77,3.29,2.39,6.71,1.72,3.6,2,3.63,0.53,1.15,1.79,2.21,2.38,1.75,0.82,1.4,5.69,3.05,0.72,4.38,0.58,1.41,1.5,4.51,0.61,1.65,0.55,0.69,2.84,3.03,0.13,3.01,1.65,1.72,1.52,0.5,1.96,1.07,8.24,1.04,1.39,1.11,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.16,3.49,4.41,3.51,4.38,3.75,1.09,4.22,3.93,5.29,3.94,1.63,6.39,5.77,2.44,0.88,4.39,1.33,4.4,6.62,2.4,5.93,3.55,4.52,1.89,4.59,2.73,4.21,1.91,3.56,9.48,0.76,2.46,5.77,5.22,2.13,2.93,3.47,3.38,3.54,2.66,2.14,1.69,6.15,5.78,2,2.43,3.14,2.08,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
