STURTON-LE- STEEPLE SCHOOL,,,,,,,,,,,,
Grid ref,SK788838,Long,-0.817825,Lat,53.345235,,,,,,,
Station no,RR7236,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.65,1.16,,
February,,,,,,,,,1.56,0.55,,
March,,,,,,,,,2.42,2.91,,
April,,,,,,,,,1.43,1.84,,
May,,,,,,,,,1.80,1.13,,
June,,,,,,,,,1.09,2.95,,
July,,,,,,,,,2.68,3.58,,
August,,,,,,,,,1.79,3.33,,
September,,,,,,,,,2.02,1.68,,
October,,,,,,,,,0.78,2.53,,
November,,,,,,,,,0.98,0.15,,
December,,,,,,,,,1.24,4.32,,
Total,,,,,,,,,18.44,26.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.44,26.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
