STURTON-LE-STEEPLE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK788838,Long,-0.81782543,Lat,53.345235,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.65,1.16,1.54,0.92,2.94,3.19,0.99,2.17,0.51,2.43,1.15,2.8,2.13,,,,,,,,,,
February,,,,,,,,,1.56,0.55,1.55,0.51,1.02,0.63,0.66,2.31,3.36,0.67,1.39,2.33,1.86,,,,,,,,,,
March,,,,,,,,,2.42,2.91,0.75,1.28,2.27,2.29,1.84,0.84,3.38,1.26,0.61,2.78,2.12,,,,,,,,,,
April,,,,,,,,,1.43,1.84,1.48,0.8,0.13,2.31,0.65,0.6,1.24,1.41,1.09,1.66,4.02,,,,,,,,,,
May,,,,,,,,,1.8,1.13,2.47,0.45,2.45,1.97,1.62,1.59,2.45,1.71,2.26,0.59,2.68,,,,,,,,,,
June,,,,,,,,,1.09,2.95,1.51,2.78,3.47,0.59,1.57,1.44,2.02,1.08,0.67,0.86,1.66,,,,,,,,,,
July,,,,,,,,,2.68,3.58,2.18,0.25,3.4,0.33,2.05,4.82,1.58,0.86,2.82,2.36,3.29,,,,,,,,,,
August,,,,,,,,,1.79,3.33,3.3,1.8,4.16,1.28,1.77,4.56,2.49,4.75,2.29,2.25,0.7,,,,,,,,,,
September,,,,,,,,,2.02,1.68,0.19,1.75,1.07,1.66,1.05,0.97,1.52,0.6,3.59,1.74,1.64,,,,,,,,,,
October,,,,,,,,,0.78,2.53,1.93,1.45,2.54,2.2,1.92,1,1.73,2.26,1.18,1.99,2.01,,,,,,,,,,
November,,,,,,,,,0.98,0.15,3.05,2.03,2.19,1.74,2.27,1.96,2.71,0.93,1.76,1.87,1,,,,,,,,,,
December,,,,,,,,,1.24,4.32,3.3,4.24,2.12,0.86,3.92,4.78,2.1,0.8,3.16,3.42,2.08,,,,,,,,,,
Total,,,,,,,,,18.44,26.13,23.25,18.26,27.76,19.05,20.31,27.04,25.09,18.76,21.97,24.65,25.19,,,,,,,,,,
