KESTON-FOREST-LODGE (BRADFIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ412643,Long,0.02697,Lat,51.36033,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,0.79,1.12,2.41,2.05,0.44,1.9,2.65,1.72,0.54,2.28,0.5,2.53,3.09,,,,,,,,,
February,,,,,,,,,1.38,2.32,0.97,0.05,1.61,3.47,1.6,0.4,0.33,2.15,1.22,2.3,4.49,,,,,,,,,
March,,,,,,,,,3.17,2.06,2.54,2.01,1.71,0.55,0.95,1.46,3.06,3.87,1.4,0.61,1.54,,,,,,,,,
April,,,,,,,,,1.85,2.79,2.11,0.69,1.03,0.14,2.14,1.5,0.76,0.88,1.18,2.55,1.03,,,,,,,,,
May,,,,,,,,,0.82,2.2,1.51,3.08,0.97,0.46,1.41,0.8,0.17,1.67,3.05,1.51,,,,,,,,,,
June,,,,,,,,,3.26,2.62,2.35,1.63,4.02,0.63,2.18,0.21,3.5,1.87,1.49,1.16,,,,,,,,,,
July,,,,,,,,,6.55,2.92,4.19,4.36,2.51,2.15,3.44,3.29,2.25,1.02,0.51,0.69,,,,,,,,,,
August,,,,,,,,,2.71,2.14,2.25,4.36,3.64,0.45,3.01,1.4,2.01,2.68,1.09,0.99,,,,,,,,,,
September,,,,,,,,,0.72,1.02,0.72,0.8,1.92,1.26,1.79,0.92,7.15,2.58,0.34,2.86,,,,,,,,,,
October,,,,,,,,,1.49,4.42,1.23,6.76,4.79,3.8,4.5,2.94,3.73,0.49,3.48,2.01,,,,,,,,,,
November,,,,,,,,,3.98,0.83,2.24,2.86,2.69,2.3,4.5,3.85,1.79,1.17,3.43,4.87,,,,,,,,,,
December,,,,,,,,,1.43,1.49,0.87,3.55,1.55,2.58,1.6,2.68,3.49,2.59,2.44,1.6,,,,,,,,,,
Total,,,,,,,,,28.15,25.93,23.39,32.2,26.88,19.69,29.77,21.17,28.78,23.25,20.13,23.68,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 values from notes at foot of 1890s TYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
