"KESTON FOREST LODGE",,,,,,,,,,,,
Grid ref,TQ419643,Long,0.036705,Lat,51.360053,,,,,,,
Station no,390,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.32,,,1.32,1.93,1.09,,
February,,,,,4.19,,,1.47,1.31,0.89,,
March,,,,,1.67,,,1.03,2.95,3.93,,
April,,,,,1.12,,,3.32,2.89,1.83,,
May,,,,,1.77,,,2.26,1.99,1.65,,
June,,,,,1.02,,,2.15,2.18,3.88,,
July,,,,,1.47,,,0.92,3.99,3.30,,
August,,,,,0.92,,,2.20,4.55,2.41,,
September,,,,,2.27,,,0.48,1.54,4.12,,
October,,,,,2.23,,,4.02,2.25,4.97,,
November,,,,,1.58,,,2.39,0.88,1.01,,
December,,,,,2.91,,,3.11,2.47,3.87,,
Total,,,,,25.47,,,24.67,28.93,32.95,,
Calc annual,0.00,0.00,0.00,0.00,25.47,0.00,0.00,24.67,28.93,32.95,,
Difference,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,0.00,0.00,0.00,,
