REEPHAM-GREAT-WITCHINGHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,TG099181,Long,1.106478,Lat,52.719813,Elevation,60,ft,,,,,,,,,,,,
Station no,RR8022,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.11,0.76,2.84,1.7,2.56,,,,,,,
February,,,,,,,,,2.45,0.67,2.19,1.7,1.29,,,,,,,
March,,,,,,,,,2.71,3.16,0.95,2.73,2.55,,,,,,,
April,,,,,,,,,3.2,1.27,1.98,1.07,0.27,,,,,,,
May,,,,,,,,,1.88,1.74,4.01,1.14,1.62,,,,,,,
June,,,,,,,,,0.81,3.6,1.97,2.81,2.16,,,,,,,
July,,,,,,,,,3.43,4.16,3.36,0.4,4.8,,,,,,,
August,,,,,,,,,2.06,2.72,2.25,0.48,7.33,,,,,,,
September,,,,,,,,,1.9,1.83,1.21,1.99,2.3,,,,,,,
October,,,,,,,,,1.6,4.71,1.02,2.48,2.51,,,,,,,
November,,,,,,,,,1.61,1.6,4.02,3.37,3.65,,,,,,,
December,,,,,,,,,1.74,5.63,4.46,3.31,2.27,,,,,,,
Total,,,,,,,,,24.5,31.85,30.26,23.18,33.31,,,,,,,
