MOSELEY THE HENBURY'S [BIRMINGHAM],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP069825,Long,-1.8987,Lat,52.4412,Elevation,479,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.67,3.83,2.34,4.98,1.43,1.98,0.56,0.49,2.25,3.97,2.73,1.74,2.97,2.63,0.79,0.76,3.32,2.32,2.1,2.06,,,,,,
February,,,,,3.4,1.6,3.36,2.05,1.22,3.12,3.34,3.79,1.81,3.76,1.67,3.14,0.63,0.69,0.34,1.34,0.65,0.12,1.64,3.03,,,,,,
March,,,,,1.28,0.77,2.78,2.12,1.1,0.82,1.69,2.51,2.15,0.99,2.04,0.99,2.97,1.74,2.64,2.63,1.86,1.38,0.94,0.64,,,,,,
April,,,,,2.01,1.34,2.93,2.97,2.53,3.2,1.63,0.62,4.21,0.98,2.54,2.61,1.97,1.3,1.57,3.36,0.97,2.23,1.07,0.34,,,,,,
May,,,,,2.52,2.53,0.57,3.88,5.75,3.33,1.84,1.66,2.28,1.88,1.13,2.56,6.08,2.03,0.92,4.19,2.35,3.88,1.85,1.79,,,,,,
June,,,,,1.08,3.56,2.39,0.67,4.11,5.73,3.71,2.33,4.52,3.96,2.37,4.21,1.55,2.04,2.46,0.62,1.92,3.21,2.18,1.42,,,,,,
July,,,,,1.33,7.29,1.58,4.36,0.64,5.37,5.27,2.12,4.28,3.56,3.22,0.39,3.56,0.89,5.56,2.27,2.28,2.37,2.32,2.27,,,,,,
August,,,,,3.14,2.12,2.47,4.79,8.04,5.96,0.74,4.95,1.88,1,1.28,2.41,2.14,2.09,2.81,3.48,2.97,4.24,3.22,1.9,,,,,,
September,,,,,3.82,4.03,5.51,2.66,3.65,3.38,5.73,2.07,2.5,5.51,1.54,3.12,2.24,3.19,1.34,2.11,1.14,1.71,3.08,1.38,,,,,,
October,,,,,4.23,7.84,1.77,2.3,3.36,1.32,5.8,2.87,5.48,2.62,1.46,5.14,4.07,2,0.48,3.52,1.55,6.29,2.84,2.3,,,,,,
November,,,,,3.67,3.72,3.93,3.49,3.06,1.14,2.33,2.8,4.43,4.45,1.66,3.39,1.99,1.97,4.86,1.36,3.53,3.18,1.99,1.49,,,,,,
December,,,,,2.58,1.07,6.07,1.94,2.28,0.98,3.49,3.29,3.3,1.08,2.31,0.93,3.83,1.48,2.43,1.87,0.97,3.42,1.37,2.93,,,,,,
Total,,,,,31.73,39.7,,36.21,37.17,36.33,36.13,29.5,39.09,33.76,23.95,30.63,34,22.05,26.2,27.51,23.51,34.35,24.6,21.55,,,,,,
