KINGARTH THE PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS096530,Long,-5.033971,Lat,55.732866,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,6.16,2.56,3.95,1.26,6.38,1.21,3.15,,3.02,,6.65,2.3,3.73,,,,,,,
February,,,,,,,,,,,0.7,0.44,1.72,3.33,8.38,0.26,2.49,,4.72,,3.35,1.62,1.46,,,,,,,
March,,,,,,,,,,,2.93,2.87,0.91,1.78,2.44,2.62,5.71,,3.62,,0.26,2.12,2,,,,,,,
April,,,,,,,,,,,1.62,1.34,1.18,2.08,2.35,3.36,2.75,,3.31,,2.4,3.62,1.5,,,,,,,
May,,,,,,,,,,,2.68,1.88,4.98,2,2.04,1,0.89,,2.1,,3.48,1.72,2.25,,,,,,,
June,,,,,,,,,,,4.11,1.58,3.32,1.45,2.35,2.51,3.52,,2.76,,2.16,3.2,1.22,,,,,,,
July,,,,,,,,,,,3.17,0.74,2.18,4.12,2.33,4.42,4.57,,1.94,,3.8,1.08,3.45,,,,,,,
August,,,,,,,,,,,2.17,4.02,7.08,,2.43,5.43,2.28,,5.82,,4.98,4.6,2.5,,,,,,,
September,,,,,,,,,,1.93,4.56,5.09,4.52,,0.05,0.92,4.56,,4.45,,4.4,3.88,3.85,,,,,,,
October,,,,,,,,,,3.55,2.87,4.54,3.65,,2.12,3.95,3.85,,3.9,,4.75,4.92,3.3,,,,,,,
November,,,,,,,,,,2.64,7.56,,4.82,,3.89,6.14,2.07,,4.09,,6.1,4.05,4.25,,,,,,,
December,,,,,,,,,,4.57,1.29,,2.02,,4.7,5.78,5.45,,5.25,,7.73,3.96,3.2,,,,,,,
Total,,,,,,,,,,,39.82,,40.33,,39.46,37.6,41.29,,44.98,,50.06,37.07,32.71,,,,,,,
