Rainfall at,STRATHBLANE MUGDOCK RESERVOIR
,
Station no,5378,
,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,7.40,3.90,3.90,2.95,6.70,2.20,3.70,2.15,4.70,7.00,
February,0.95,1.10,2.80,5.45,11.90,0.80,2.70,3.95,3.90,2.20,
March,3.50,4.50,1.15,2.60,3.13,3.90,4.90,5.60,2.90,4.70,
April,2.20,2.00,1.10,1.30,1.87,2.20,2.80,2.20,3.30,3.70,
May,3.25,2.20,4.90,3.10,3.30,0.75,0.55,2.50,1.90,5.25,
June,5.35,1.33,4.60,2.90,3.30,1.95,4.75,6.90,3.60,1.75,
July,5.30,2.10,3.40,3.20,3.55,4.45,3.64,2.75,1.65,3.25,
August,4.05,6.75,7.35,3.50,4.65,7.75,2.21,6.70,5.95,1.10,
September,7.65,6.80,6.00,3.30,0.10,2.30,5.40,4.40,5.90,5.95,
October,4.65,4.00,5.10,5.40,4.00,3.90,4.00,2.45,4.40,4.65,
November,8.20,4.50,4.60,4.40,3.80,6.50,2.35,3.90,5.50,6.90,
December,1.30,7.70,3.20,5.75,4.25,5.80,6.55,7.10,6.40,4.60,
Total,53.80,46.88,48.10,43.85,50.55,42.50,43.55,50.60,50.10,51.05,
Calc annual,53.80,46.88,48.10,43.85,50.55,42.50,43.55,50.60,50.10,51.05,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
