BIDEFORD-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS450266,Long,-4.21072,Lat,51.01784,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,2.69,2.84,5.26,5.3,1.77,6.35,1.89,1.84,2.59,5.26,1.5,3.5,6.16,1.99,4.3,2.28,1.43,5.26,4.72,6.29,5.02,,,,,,,,,
February,,1.59,1.39,2.88,6.4,1.71,4.41,1.92,2.66,0.58,5.57,2.42,2.36,1.9,4.86,6.57,7.43,1.1,2.61,3.47,1.72,0.29,,,,,,,,,
March,,2.73,2.97,6.39,1.26,4.84,1.94,1.24,3.8,5.08,0.74,2.11,6.37,5.96,6.24,0.77,2.93,2.84,1.73,4.94,4.1,,,,,,,,,,
April,,4.38,1.57,1.84,1.65,2.3,1.38,4.57,2.15,2.91,2.3,2.35,0.11,5.2,1.86,1.47,1.01,2.5,1.67,2.67,4.76,0.8,,,,,,,,,
May,,1.08,2,3.62,3.05,0.22,2.91,2.56,2.05,1.3,2.08,1.21,1.46,3.06,1.42,2.83,2,2.06,0.9,1.14,2.26,,,,,,,,,,
June,,3.14,4.04,1.4,1.26,3.24,1.32,2.99,1.25,1.47,3.01,3.27,7.39,1.96,2.04,1.59,1.83,5.57,1,1.43,2.05,,,,,,,,,,
July,,1.89,2.4,3.18,4.2,1.38,1.11,1.55,2.11,1.99,3.01,0.46,3.13,0.5,4.47,4.09,1.2,2.63,4.84,1,4.52,,,,,,,,,,
August,,2.21,2.56,4.45,2.75,5.37,2.68,2.49,3.45,1.56,4.36,3.01,8.3,1.19,4.03,1.52,3.26,5.24,2.77,2.41,1.84,,,,,,,,,,
September,,3.68,3.26,4.68,2.95,1.8,0.86,0.75,1.89,2.91,0.11,3.24,0.77,2.07,2.37,1.21,2.42,2.53,8.57,2.06,3.79,,,,,,,,,,
October,,4.17,3.67,11.06,2.36,3.29,5.73,6.25,1.45,7.5,5.82,4.08,5.36,4,3.01,4.17,6.18,8.11,2.43,1.44,4.89,,,,,,,,,,
November,,2.11,4.92,3.67,4.11,4.69,3.92,2.97,2.23,1.86,6.3,6.33,3.08,6.04,4.63,2.71,4.45,2.88,4.02,5.04,2.9,,,,,,,,,,
December,,6.94,3.8,4.58,3.59,1.54,3.4,5.98,4.72,6.52,5.73,8.31,6.88,3.64,8.08,8.57,3.42,1.01,6.06,7.34,4.47,,,,,,,,,,
Total,,36.61,35.42,53.01,38.88,32.15,36.01,35.16,29.6,36.27,44.29,38.29,48.71,41.68,45,39.8,38.41,37.9,41.86,37.66,43.59,,,,,,,,,,
