WOTTON-UNDER-EDGE-BOURNSTREAM,,,,,,,,,,,,,,,,,,,,
Grid ref,ST750945,Long,-2.362729,Lat,51.648733,Elevation,300,ft,,,,,,,,,,,,
Station no,2144/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.77,5.16,1.16,0.77,4.26,2.14,1.03,2.14,2.52,3.83,3.24,2.62,4.46,4.56
February,,,,,,,2,1.58,1.02,5.61,3.84,0.6,1.63,3.25,1.78,0.45,3.13,3.7,0.33,2.59
March,,,,,,,6.75,1.81,1.65,1.73,3.58,2.45,1.2,3.13,1.27,0.52,2.75,1.06,2.82,2.18
April,,,,,,,2.57,3.08,2.13,2.49,3.08,2.03,3.03,0.45,1.06,2.1,0.11,1.05,3.94,1.33
May,,,,,,4.49,2.35,4.58,3.82,2.36,2.66,3.68,2.37,1.67,4.49,0.59,1.28,3.08,1.36,1.26
June,,,,,,3.96,2.4,2.4,0.49,2.13,1.09,2.13,1.78,5.82,2.21,2.4,1.7,4.28,1.9,2.61
July,,,,,,2,3.32,0.84,1.33,4.03,1.02,0.85,3.5,3.5,1.32,2.32,3.2,3.1,1.88,4.06
August,,,,,,7.64,0.72,5.42,1.8,5.13,5.16,4.85,4.26,5.02,0.41,5.16,2.56,2,3.04,6.05
September,,,,,,3.54,2.16,2.94,3.83,4.6,3.61,2.66,2.97,4.62,1.02,3.58,3.59,5.02,0.14,4.83
October,,,,,,0.71,0.52,3.85,6.87,1.01,0.48,3.88,2.28,3.56,1.78,1.24,2.72,2.84,2.87,6.27
November,,,,,,5.35,2.41,1.71,2.34,6.34,6.3,4.39,1.78,6.15,3.06,1.02,1.8,2.55,3.4,5.13
December,,,,,,3.28,2.12,3.92,1.63,1.72,3.02,2.22,0.93,2.38,3.33,3.79,2.51,3.53,7.04,4.38
Total,,,,,,,30.09,37.29,28.07,37.92,38.1,31.88,26.76,41.69,24.25,27,28.59,34.83,33.18,45.25
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
