WOTTON-UNDER-EDGE (BOURNSTREAM),,,,,,,,,,,,
Grid ref,ST750945,Long,-2.362729,Lat,51.648733,,,,,,,
Station no,2144/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.26,2.14,1.03,2.14,2.52,3.83,3.24,2.62,4.46,4.56,,
February,3.84,0.60,1.63,3.25,1.78,0.45,3.13,3.70,0.33,2.59,,
March,3.58,2.45,1.20,3.13,1.27,0.52,2.75,1.06,2.82,2.18,,
April,3.08,2.03,3.03,0.45,1.06,2.10,0.11,1.05,3.94,1.33,,
May,2.66,3.68,2.37,1.67,4.49,0.59,1.28,3.08,1.36,1.26,,
June,1.09,2.13,1.78,5.82,2.21,2.40,1.70,4.28,1.90,2.61,,
July,1.02,0.85,3.50,3.50,1.32,2.32,3.20,3.10,1.88,4.06,,
August,5.16,4.85,4.26,5.02,0.41,5.16,2.56,2.00,3.04,6.05,,
September,3.61,2.66,2.97,4.62,1.02,3.58,3.59,5.02,0.14,4.83,,
October,0.48,3.88,2.28,3.56,1.78,1.24,2.72,2.84,2.87,6.27,,
November,6.30,4.39,1.78,6.15,3.06,1.02,1.80,2.55,3.40,5.13,,
December,3.02,2.22,0.93,2.38,3.33,3.79,2.51,3.53,7.04,4.38,,
Total,38.10,31.88,26.76,41.69,24.25,27.00,28.59,34.83,33.18,45.25,,
Calc annual,38.10,31.88,26.76,41.69,24.25,27.00,28.59,34.83,33.18,45.25,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
