"RAVENSCRAIG EDINBURGH W.W. NO 3",,,,,,,,,,,,
Grid ref,NT142140,Long,-3.356776,Lat,55.412386,,,,,,,
Station no,5067,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.56,3.80,6.33,6.85,6.37,2.19,9.45,2.20,4.98,7.33,,
February,1.64,2.38,1.87,7.76,4.00,2.01,2.28,3.57,3.50,1.98,,
March,0.17,2.37,4.05,14.60,4.16,6.39,3.68,5.25,7.60,6.43,,
April,3.29,4.63,4.00,1.05,5.71,5.71,1.82,3.35,2.04,4.49,,
May,6.25,2.98,2.61,4.33,4.90,5.80,5.42,7.00,4.01,4.13,,
June,7.85,5.73,1.88,3.42,6.43,1.42,3.43,11.48,5.88,3.28,,
July,5.75,1.98,4.77,6.83,7.05,5.96,5.31,5.50,5.74,6.21,,
August,7.05,5.37,4.67,10.18,8.02,7.50,11.31,9.61,7.32,5.18,,
September,7.33,10.50,4.07,5.85,6.64,4.10,2.51,0.98,12.11,3.56,,
October,8.75,8.88,5.10,14.72,4.68,4.35,9.71,14.00,3.64,16.67,,
November,5.83,4.38,7.20,3.82,2.71,5.98,4.04,6.21,5.70,3.62,,
December,16.14,5.18,8.04,5.17,6.70,5.69,2.99,8.00,3.96,7.87,,
Total,75.61,58.18,54.59,84.58,67.37,57.10,61.95,77.15,66.48,70.75,,
Calc annual,75.61,58.18,54.59,84.58,67.37,57.10,61.95,77.15,66.48,70.75,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
