BARRY-CANON-STREET,,,,,,,,,,
Grid ref,ST106672,Long,-3.2864213,Lat,51.396765,Elevation,97,ft,,
Station no,RR8806,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,4.01,0.99,4.74,2.25,1.85,
February,,,,,4.94,1.04,3.03,1.46,2.32,
March,,,,,2.71,4.14,2.77,1.24,2.27,
April,,,,,1.29,1.99,1.95,3.65,2.44,
May,,,,,2.76,0.08,3.97,2.36,1.15,
June,,,,,0.91,3.02,2.15,2.95,0.16,
July,,,,,4.22,1.69,0.81,2.57,3.05,
August,,,,,3.34,3.69,3.62,2.71,4.32,
September,,,,,2.78,1.61,1.15,0.73,3.58,
October,,,,,2.69,2.29,5.34,5.02,4.17,
November,,,,,3.38,3.37,3.28,2.4,1.76,
December,,,,,2.87,1.94,2.57,6.53,2.36,
Total,,,,,35.9,25.85,35.38,33.87,29.43,
