TYNDRUM HOUSE,,,,,,,,,,,,
Grid ref,NN329305,Long,-4.711837,Lat,56.437002,,,,,,,
Station no,5555/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,7.53,7.64,9.89,6.31,,,,,,,
February,,5.09,6.79,7.54,6.16,,,,,,,
March,,8.10,3.36,6.32,2.54,,,,,,,
April,,5.20,6.17,3.39,6.20,,,,,,,
May,,2.72,5.49,5.50,5.22,,,,,,,
June,,6.35,1.82,5.38,4.85,,,,,,,
July,,5.89,9.10,3.90,1.57,,,,,,,
August,,6.94,8.46,7.38,2.33,,,,,,,
September,7.18,6.86,11.11,12.78,9.97,,,,,,,
October,3.59,10.82,9.09,16.72,8.90,,,,,,,
November,16.10,3.98,17.29,15.96,4.71,,,,,,,
December,15.78,10.04,12.38,19.75,17.51,,,,,,,
Total,,79.52,98.70,114.51,,,,,,,,
Calc annual,42.65,79.52,98.70,114.51,76.27,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
