TYNDRUM MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN329305,Long,-4.711837,Lat,56.437002,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5555/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,20.57,14.94,20.34,6.79,6.44,18.12,18.02,5.72,1.09,1.17,9.74,9.59,17.88,,,,,13.81,,,7.53,7.64,9.89,6.31,,,,,
February,,0.11,8.3,3.88,14.06,4.57,8.11,10.86,15.69,3.83,9.31,3.02,12.38,5.56,,,,,12.75,,,5.09,6.79,7.54,6.16,,,,,
March,,4.04,7.66,5.21,6.08,4.86,2,15.25,8.25,8.06,2.74,5.08,7.58,2.42,,,,,3.85,,,8.1,3.36,6.32,2.54,,,,,
April,,8.48,5.65,6.87,6.22,2.95,4.13,2.1,5.13,5.93,3.67,4.95,10.42,6.62,,,,,9.96,,,5.2,6.17,3.39,6.2,,,,,
May,,3.09,3.64,6.4,0.61,2.51,3.95,4.68,1.69,1.93,2.52,5.6,5.82,6.82,,,,,4.82,,,2.72,5.49,5.5,5.22,,,,,
June,,2.32,3.91,2.7,6.74,2.37,5.48,10.76,4.42,2.13,1.61,3.62,7.64,7.75,,,,,3.45,,,6.35,1.82,5.38,4.85,,,,,
July,,8.67,5.73,4.55,3.8,7.44,7.26,6.62,8.76,4.91,4.38,7.25,3.08,3.98,,,,,2.77,,,5.89,9.1,3.9,1.57,,,,,
August,,4.91,7.51,7.73,6.57,4.95,6.22,4.76,2.84,5.15,7.65,9.8,11.03,7.88,,,,,,,,6.94,8.46,7.38,2.33,,,,,
September,,9.03,2.25,13.79,13.84,4.92,9.18,8.82,3.29,6.31,3.57,12.13,9.1,6.54,,,,,,,7.18,6.86,11.11,12.78,9.97,,,,,
October,,12.75,7.15,15.44,20.08,13.44,3.17,16.43,4.52,11.49,8.84,12.01,21.26,,,,,,,,3.59,10.82,9.09,16.72,8.9,,,,,
November,,11.72,3.78,1.97,9.38,6.56,1.66,20.44,17.26,12.44,12.43,3.3,6.88,,,,,,,,16.1,3.98,17.29,15.96,4.71,,,,,
December,,19.36,2.39,14.21,4.83,18.35,4.1,11.7,5.29,14.02,9.98,18.51,6.42,,,,,14.83,,,15.78,10.04,12.38,19.75,17.51,,,,,
Total,,105.05,72.91,103.09,99,79.36,73.38,130.44,82.86,77.29,67.87,95.01,111.2,,,,,,,,,79.52,98.7,114.51,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moves between tyndrum and Strathfillan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5555/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,859909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
