TYNDRUM (STRATHFILLAN MANSE),,,,,,,,,,,,
Grid ref,NN349287,Long,-4.678302,Lat,56.421552,,,,,,,
Station no,5555/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.77,,,,,,,,,,,
February,7.70,,,,,,,,,,,
March,7.17,,,,,,,,,,,
April,9.56,,,,,,,,,,,
May,1.21,,,,,,,,,,,
June,4.71,,,,,,,,,,,
July,6.34,,,,,,,,,,,
August,8.33,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,55.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
