TYNDRUM (STRATHFILLAN MANSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NN349287,Long,-4.678302,Lat,56.421552,Elevation,560,ft,,,,,,,,,,,,
Station no,5555/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,16.08,4.65,13.52,10.7,10.49,,8.48,10.77,,,,,,,,,
February,,,,5,15.71,6.91,0.97,11.05,,10.83,7.7,,,,,,,,,
March,,,,2.18,8.18,6.25,5.13,11.87,,5.54,7.17,,,,,,,,,
April,,,,5.95,2.31,2.72,17.4,5.98,,9.38,9.56,,,,,,,,,
May,,,,6.13,6.42,1.46,4.19,2,,3.12,1.21,,,,,,,,,
June,,,,6.97,6.29,7.25,4.62,7.94,,6.33,4.71,,,,,,,,,
July,,,,3.58,3.5,6.86,6.41,6.73,,9.57,6.34,,,,,,,,,
August,,,,7.09,2.94,6.04,0.03,8.08,8.07,11.33,8.33,,,,,,,,,
September,,,,5.88,6.08,10.94,9.88,12.8,5.63,18.32,,,,,,,,,,
October,,,19.12,8.23,6.61,0.75,5.48,12.5,11.78,10.91,,,,,,,,,,
November,,,6.19,12.19,0.63,8.83,14.55,6.84,8.41,7.73,,,,,,,,,,
December,,,5.77,10.14,9.3,10.14,3.52,14.75,19.26,3.45,,,,,,,,,,
Total,,,,89.42,72.62,81.67,82.88,111.03,,104.99,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1943 -999 Deleted,,,,,,,,,,,,,,,,,,,,
1948 Dec Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5555/4,,,,,,,,,,,,,,,,,,,
Midas,15076,,,,,,,,,,,,,,,,,,,
Hyd stn,859930,,,,,,,,,,,,,,,,,,,
