TYNDRUM (TIGHNESS) ,,,,,,,,,,,,
Grid ref,NN328307,Long,-4.713585,Lat,56.438761,,,,,,,
Station no,5555/6/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,6.74,16.07,10.49,4.80,6.99,,
February,,,,,,4.92,8.76,4.37,5.90,8.27,,
March,,,,,,5.49,9.58,2.55,8.25,3.09,,
April,,,,,,4.02,4.53,4.24,6.75,9.87,,
May,,,,,,7.44,3.85,8.60,3.06,5.23,,
June,,,,,,5.27,4.32,3.11,6.08,3.95,,
July,,,,,,6.79,5.35,5.14,8.38,6.67,,
August,,,,,,6.20,9.02,8.61,5.45,5.69,,
September,,,,,,8.28,5.53,7.95,2.27,4.95,,
October,,,,,,7.84,11.67,9.86,9.63,4.81,,
November,,,,,4.71,6.28,4.02,2.80,13.11,11.61,,
December,,,,,17.51,16.73,13.60,10.90,15.55,11.39,,
Total,,,,,,86.00,96.30,78.62,89.23,82.52,,
Calc annual,0.00,0.00,0.00,0.00,22.22,86.00,96.30,78.62,89.23,82.52,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
