AUCHENDRANE HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 337 164,Long,-4.62808,Lat,55.413775,Elevation,94,ft,,,,,,,,,,,,
Station no,RR1153,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.3,5.16,4.61,3.11,4.08,,,,,,,,
February,,,,,,,,3.95,6.7,5.74,2.54,4.62,,,,,,,,
March,,,,,,,,1.04,6.97,0.82,1.47,4.17,,,,,,,,
April,,,,,,,,4.82,3.34,2.07,2.19,3.38,,,,,,,,
May,,,,,,,,1.59,2.49,1.03,4.27,0.86,,,,,,,,
June,,,,,,,,3.33,1.06,1.88,2.46,2.18,,,,,,,,
July,,,,,,,,5.48,0.84,2.37,2.06,3.65,,,,,,,,
August,,,,,,,,3.23,6.22,1.57,2.06,5.19,,,,,,,,
September,,,,,,,,4.35,1.85,6.42,4.01,2.09,,,,,,,,
October,,,,,,,,5.3,5.92,2.77,5.2,2.7,,,,,,,,
November,,,,,,,,1.08,2.64,7.67,2.15,2.9,,,,,,,,
December,,,,,,,,4.26,7.19,7.95,2.11,5.14,,,,,,,,
Total,,,,,,,,42.73,50.38,44.9,33.63,40.96,,,,,,,,
