AUCHENDRANE HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 337 164,Long,-4.62808,Lat,55.413775,Elevation,94,ft,,,,,,,,,,,,
Station no,RR1153,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,4.87,4,7.55,,5.32,,2.5,,4.32,2.3,3.45,,,,,,,
February,,,2.9,2.8,3.97,4.96,2.66,,1.1,,0.77,,3.15,,,,,,,
March,,,,1.36,2,2.7,2.58,,2.59,,3.15,2.88,1.02,,,,,,,
April,,,2.37,2.9,1.9,2.42,2.9,,1.66,,,0.98,1.12,,,,,,,
May,,,1.52,2.29,3.95,1.5,3.33,,2.73,4.64,2.1,1.25,6.24,,,,,,,
June,,,4.36,3.46,0.76,0.93,1.9,,,0.94,4.13,0.59,3.7,,,,,,,
July,,,5.22,2.16,4.28,1.79,2.17,,3.4,2.9,3.13,0.53,,,,,,,,
August,,3.58,4,5.55,2.9,3.9,2.5,,,4.45,3.65,6.88,6.88,,,,,,,
September,,2.4,3.56,3.43,4.29,4.53,,,,3.22,4.6,5.13,4.59,,,,,,,
October,,3.4,3.75,4.54,4.44,3.32,4.5,,,,3.17,4.22,,,,,,,,
November,,4.25,5.94,6.56,3.72,,,,,,6.92,3.45,,,,,,,,
December,,3.9,4.44,4.99,,2.53,,,,5.6,1.43,5.85,1.6,,,,,,,
Total,,,,44.04,,,,,,,,,,,,,,,,
