AUCHENDRANE HOUSE (2ft 3 gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 337 164,Long,-4.62808,Lat,55.413775,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.39,3.65,4.98,5.74,6.43,4.87,3.13,6.55,2.4,3.74,8.3,4.28,5.63,4.6,3.54,3.99,7.26,6.92,5.4,,,,,
February,,,,,,,3.67,2.77,1.24,6.06,3.8,3.13,2.67,5.15,2.65,2.73,5.3,3.94,5.99,5.48,2.45,4.53,3.01,0.6,1.55,,,,,
March,,,,,,,0,3.22,2.45,5.55,4.3,6.36,3.29,1.28,4.95,2.2,2.13,1.07,6.49,0.67,1.43,4.04,2.5,2.67,3.87,,,,,
April,,,,,,,0.85,2.05,2.55,4.35,1.62,0.61,4.15,4.23,2.05,0.67,0.77,4.64,3.52,2,2.11,3.34,1.07,0.45,1.87,,,,,
May,,,,,,,4.76,1.31,4.43,0.12,3.08,1.37,4.95,3.17,2.03,4.06,1.94,1.58,2.19,1.02,4.15,0.85,3.1,2.51,1.37,,,,,
June,,,,,,,6.89,3.88,4.16,1.79,4.58,3.84,3.33,4.75,2.33,1.28,2.17,3.22,0.95,1.87,2.4,2.13,5.29,2.08,0.64,,,,,
July,,,,,,,3.01,2.52,5.3,4,1.72,2.73,4.08,0.22,2.32,1.91,3.32,5.48,0.8,2.39,2.02,3.55,3.04,4.03,2.82,,,,,
August,,,,,,,5.09,1.64,2.49,5.89,3.95,6.4,3.62,3.22,1.8,4.82,4.86,3.2,6.16,1.47,2.06,5.15,4.19,4.82,5.28,,,,,
September,,,,,,,2.52,2.96,5.5,5.61,1.75,4.98,2.88,5.82,5.8,1.16,5.91,4.33,1.7,6.38,3.87,2.08,9.2,3.52,4.41,,,,,
October,,,,,,,1.71,2.99,4.91,3.03,6.74,3.8,8.24,4.57,3.24,3.1,2.65,5.18,5.86,2.95,4.99,2.65,4.48,9.93,8.21,,,,,
November,,,,,,,1.9,3.97,1.11,3.82,1.64,7.72,3.55,4.61,4.02,2.88,6.17,1.09,2.54,7.22,2.15,2.8,5.48,3.68,5.37,,,,,
December,,,,,,,6.35,4.38,3.83,3.62,2.32,3.4,6.28,6.38,3.22,2.51,6.32,4.1,7.09,6.8,2.05,5.06,4.61,3.55,2.7,,,,,
Total,,,,,,,39.14,35.34,42.95,49.58,41.93,49.21,50.17,49.95,36.81,31.06,49.84,42.11,48.92,42.85,33.22,40.17,53.23,44.76,43.49,,,,,
