REDBROOK (HILL CREST),,,,,,,,,,,,
Grid ref,SO536099,Long,-2.674068,Lat,51.785824,,,,,,,
Station no,2123/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.99,,,,,,,,,,
February,,0.50,,,,,,,,,,
March,,1.66,,,,,,,,,,
April,,2.62,,,,,,,,,,
May,,4.52,,,,,,,,,,
June,0.89,1.50,,,,,,,,,,
July,0.90,1.47,,,,,,,,,,
August,4.76,4.47,,,,,,,,,,
September,5.54,3.31,,,,,,,,,,
October,1.44,4.19,,,,,,,,,,
November,8.24,4.23,,,,,,,,,,
December,3.68,1.71,,,,,,,,,,
Total,,33.17,,,,,,,,,,
Calc annual,25.45,33.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
