"LOUTH GOSPELGATE",,,,,,,,,,,,
Grid ref,TF326872,Long,-0.008710,Lat,53.365043,,,,,,,
Station no,RR1138,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.89,1.24,1.14,,,,,,,,,
February,4.15,1.99,1.11,,,,,,,,,
March,0.48,2.26,1.68,,,,,,,,,
April,1.11,1.47,1.88,,,,,,,,,
May,2.03,1.19,3.24,,,,,,,,,
June,2.22,2.41,2.99,,,,,,,,,
July,1.80,3.29,1.83,,,,,,,,,
August,4.08,2.19,3.17,,,,,,,,,
September,1.02,0.94,0.84,,,,,,,,,
October,2.77,2.27,2.71,,,,,,,,,
November,2.49,2.79,1.48,,,,,,,,,
December,4.25,5.98,1.82,,,,,,,,,
Total,30.29,28.02,23.89,,,,,,,,,
Calc annual,30.29,28.02,23.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
