LOUTH - GOSPELGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF326872,Long,-0.009,Lat,53.365,Elevation,111,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
January,2.33,1.49,4.20,2.22,2.63,1.66,0.97,3.41,2.51,1.54,2.24,1.23,3.42,2.16,1.33,0.15,0.78,1.80,3.06,2.76,2.51,3.08,1.91,1.30,1.17,2.80,2.22,0.78,1.96,2.41,5.12,1.21,2.43,1.22,2.61,3.89,1.24,1.14
February,2.35,2.93,2.02,2.12,2.03,1.78,1.98,2.65,2.18,1.90,1.55,2.50,2.62,1.44,2.71,2.09,3.37,1.24,3.45,1.48,3.08,0.55,0.49,1.38,2.29,1.45,0.08,2.16,3.36,1.97,0.60,0.75,3.20,1.85,1.59,4.15,1.99,1.11
March,2.50,2.29,2.14,1.78,2.68,2.80,1.09,2.59,1.35,1.10,0.51,2.92,1.94,1.36,0.87,1.86,2.27,1.54,1.84,1.81,1.43,3.13,1.98,2.37,3.17,2.14,1.69,1.73,0.62,1.01,2.56,2.84,2.97,1.76,1.81,0.48,2.26,1.68
April,0.63,1.74,2.48,2.49,1.77,0.93,2.68,2.84,1.09,1.20,0.52,3.27,3.30,1.32,1.88,2.06,1.81,3.06,1.37,1.17,2.10,1.68,1.33,1.83,2.97,0.47,1.75,1.58,0.20,1.78,1.67,1.23,1.57,3.19,2.50,1.11,1.47,1.88
May,4.66,1.52,2.54,0.38,6.34,0.99,1.85,1.42,2.80,1.09,1.42,0.95,1.67,3.68,4.15,1.03,1.10,1.68,1.75,0.96,1.61,4.01,2.33,1.11,3.47,2.38,4.05,2.87,1.19,1.12,1.28,0.88,1.37,2.41,3.52,2.03,1.19,3.24
June,1.77,4.10,1.42,1.21,1.36,2.03,2.25,3.29,1.63,1.54,3.11,2.31,1.09,2.31,4.03,3.32,1.60,3.49,4.34,0.94,2.57,1.01,0.12,1.69,0.50,2.49,3.10,5.31,1.52,5.01,1.31,2.03,1.65,1.92,1.77,2.22,2.41,2.99
July,2.52,4.01,2.47,0.83,0.64,0.59,2.85,5.54,2.64,1.15,5.01,2.01,3.35,1.90,3.39,6.32,2.33,1.84,4.28,2.56,0.67,2.41,1.18,6.45,2.22,2.36,3.52,3.34,2.81,4.26,3.07,2.23,0.67,0.68,0.72,1.80,3.29,1.83
August,4.81,4.56,2.55,3.71,1.96,1.73,1.42,5.23,3.75,2.44,3.12,2.12,3.40,5.52,2.91,2.02,4.32,4.23,1.43,1.06,1.84,1.85,3.43,1.99,3.81,2.25,4.25,1.45,1.40,2.61,2.77,2.02,3.62,2.76,0.18,4.08,2.19,3.17
September,0.44,5.10,2.20,2.62,3.40,0.99,5.24,3.39,2.92,2.62,2.64,4.14,4.46,1.95,3.90,4.73,3.47,2.65,5.42,1.32,4.78,0.97,2.60,2.50,2.80,0.64,1.16,3.87,1.35,0.94,0.28,5.59,3.56,0.26,3.24,1.02,0.94,0.84
October,5.29,1.71,2.56,3.24,2.09,6.77,1.55,3.22,2.43,2.07,5.20,1.30,1.68,2.43,1.25,5.94,2.25,5.15,3.27,2.05,5.45,4.26,4.17,0.80,4.76,1.37,4.74,6.45,1.96,4.71,3.20,5.69,0.73,3.23,3.77,2.77,2.27,2.71
November,2.25,3.76,1.31,2.38,1.55,2.28,2.09,4.07,1.12,3.01,5.83,2.82,2.49,5.17,1.56,3.02,2.86,3.43,3.85,1.84,2.64,2.09,2.85,2.52,1.50,3.26,3.21,1.40,3.62,3.03,2.50,1.60,2.45,3.10,1.40,2.49,2.79,1.48
December,1.11,2.02,2.93,6.82,4.83,3.83,1.71,3.72,0.27,3.46,1.18,5.13,1.76,2.23,0.94,2.50,2.57,4.06,2.26,2.94,0.91,4.50,1.61,1.67,1.36,0.81,3.70,1.16,2.55,2.83,2.04,4.28,1.91,2.81,2.63,4.25,5.98,1.82
Total,30.66,35.23,28.82,29.80,31.28,26.38,25.68,41.37,24.69,23.12,32.33,30.70,31.18,31.47,28.92,35.04,28.73,34.17,36.32,20.89,29.59,29.54,24.00,25.61,30.02,22.42,33.47,32.10,22.54,31.68,26.40,30.35,26.13,25.19,25.74,30.29,28.02,23.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
