ROMFORD-NORMANHURST,,,,,,,,,,
Grid ref,TQ513885,Long,0.18196436,Lat,51.575067,Elevation,93,ft,,
Station no,RR7414,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.43,1.2,1.38,1.6,1.07,3.43,1.06,,
February,,2.74,0.03,2.63,1.06,2.3,0.53,0.38,,
March,,1.24,0.9,0.47,1.38,1.3,0.92,2.55,,
April,,0.55,1.96,1.43,1.21,2.04,0.96,1.4,,
May,,1.07,1.72,1.63,0.5,2.15,3.1,-999,,
June,,1.5,2.35,1.28,1.65,0.41,0.83,-999,,
July,,1.84,2.65,3.08,1.19,0.4,1.75,0.3,,
August,,3.63,1.68,2.3,0.83,1.33,1.25,0.75,,
September,,1.51,2.51,3.2,1.76,3.41,-999,0.15,,
October,,2.26,5.08,1.5,1,3.55,-999,-999,,
November,,2.05,2.2,2.48,1.09,2.7,4.44,-999,,
December,,2.44,2.79,0.62,2.4,0.73,3.22,1.37,,
Total,,22.26,25.07,22,15.67,21.39,23.37,13.52,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1886 Sep Oct -999 (2.94),,,,,,,,,,
1887 May Jun -999 (1.81),,,,,,,,,,
1887 Oct Nov -999 (3.75),,,,,,,,,,
1887 Jul Aug Sep each thought to be 1 inch too small,,,,,,,,,,
