"COLERAINE (INGLEDENE)",,,,,,,,,,,,
Grid ref,IC859310,Long,-6.654295,Lat,55.119003,,,,,,,
Station no,6239/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.35,6.17,1.24,4.10,4.39,3.41,4.49,,,,,
February,3.36,1.93,1.67,3.34,2.36,1.93,2.74,,,,,
March,2.66,1.15,0.86,2.72,1.03,1.24,2.71,,,,,
April,1.99,1.39,2.24,1.35,2.06,1.25,1.56,,,,,
May,1.44,1.51,1.82,3.95,3.58,1.65,1.93,,,,,
June,2.57,3.24,2.78,3.16,3.76,3.34,1.83,,,,,
July,3.20,1.66,4.94,3.85,1.12,4.95,,,,,,
August,3.99,6.72,4.16,2.92,0.87,5.37,,,,,,
September,2.20,3.65,3.75,4.43,5.30,3.65,,,,,,
October,1.75,4.77,2.21,5.06,3.70,3.25,,,,,,
November,5.64,3.68,3.58,5.38,1.61,3.09,,,,,,
December,5.58,5.30,3.39,5.49,4.94,3.49,,,,,,
Total,37.73,41.17,32.64,45.75,34.72,36.62,,,,,,
Calc annual,37.73,41.17,32.64,45.75,34.72,36.62,15.26,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
