COLERAINE (INGLEDENE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC859310,Long,-6.654295,Lat,55.119003,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6239/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.88,3.44,2.32,3.09,1.95,4.48,5.85,5.31,2.44,2.31,1.56,6.38,4.5,4.24,4.76,4.2,4.1,5.72,4.17,4.22,3.35,6.17,1.24,4.1,4.39,3.41,4.49,,,
February,3.22,0.2,3.26,0.57,4.18,1.39,4.42,1.91,3.3,2.61,2.98,2.51,3.68,1.49,3.88,4.02,0.82,2.65,3.07,2.43,3.36,1.93,1.67,3.34,2.36,1.93,2.74,,,
March,0.49,1.99,2.12,2.19,1.14,2.12,1.56,2.06,3.31,4.5,2.75,3.23,1.44,1.41,1.5,1.01,3.29,2.86,2.5,1.85,2.66,1.15,0.86,2.72,1.03,1.24,2.71,,,
April,2.8,3.73,1.02,2.81,2.95,0.79,3.07,0.38,1.84,4.28,1.19,1.78,2.56,2.44,1.45,1.05,4.07,2.27,3.06,4.8,1.99,1.39,2.24,1.35,2.06,1.25,1.56,,,
May,3.27,2.01,1.29,2.6,1.57,1.14,1.46,3.39,1.08,1.36,2.01,3.71,3.41,2.41,4.06,0.75,3.93,1.47,2.18,1.7,1.44,1.51,1.82,3.95,3.58,1.65,1.93,,,
June,4.27,1.27,2.49,1.97,3.72,2.13,1.93,3.76,3.12,1.6,0.48,1.3,3.06,3,3.27,3.36,4.59,3.79,1.23,2.88,2.57,3.24,2.78,3.16,3.76,3.34,1.83,,,
July,2.53,4.59,2.37,1.92,1.13,7.21,5.5,4.63,5.32,4.78,3.08,4.39,2.02,3.89,4.55,4.81,4.46,3.57,1.79,6.48,3.2,1.66,4.94,3.85,1.12,4.95,,,,
August,2.22,2.5,1.8,5.33,2.42,2.48,4.41,2.5,1.68,1.65,4.08,5.24,5.26,3,1.08,4.83,0.2,3.95,2.61,5.13,3.99,6.72,4.16,2.92,0.87,5.37,,,,
September,2.38,3.39,1.12,5.33,4.22,4.69,3.17,3.46,2.37,3.37,1.01,5.48,3.62,5.88,3.51,5.07,3.24,4.34,2.5,7.55,2.2,3.65,3.75,4.43,5.3,3.65,,,,
October,2.87,4.66,3.61,5.16,6.7,3.58,2.28,6.3,2.08,4.69,4.23,4.01,3.68,5.39,3.66,1.33,2.4,4.1,5.03,4.43,1.75,4.77,2.21,5.06,3.7,3.25,,,,
November,4.73,3.03,2.15,1.54,4.44,4.76,1.56,5.89,4.89,5.18,4.07,1.55,3.76,5.48,0.72,3.25,6.71,2.62,3.5,3.36,5.64,3.68,3.58,5.38,1.61,3.09,,,,
December,2.39,4.41,2.33,3.3,3.29,4.24,2.7,4.33,3.28,5.12,2.07,5.19,2.73,4.24,3.6,3.8,2.32,6.05,6.11,5.31,5.58,5.3,3.39,5.49,4.94,3.49,,,,
Total,35.05,35.22,25.88,35.81,37.71,39.01,37.91,43.92,34.71,41.45,29.51,44.77,39.72,42.87,36.04,37.48,40.13,43.39,37.75,50.14,37.73,41.17,32.64,45.75,34.72,36.62,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
