EASTBOURNE (Love Lane),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TV599992,Long,0.266274,Lat,50.770352,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,0.88,0.39,2.73,1.91,0.67,1.84,2.81,2.27,1.39,2.29,0.82,3.27,,0.58,1.56,,,,,,,
February,,,,,,,,,1.39,2.55,1.1,0.23,1.23,3.42,2.1,0.21,0.27,3.33,1.51,2.31,,1.73,1.9,,,,,,,
March,,,,,,,,,3.77,0.91,1.9,2.12,1.34,0.29,1.23,2.07,2.61,3.57,1.27,0.51,,1.35,1.38,,,,,,,
April,,,,,,,,,1.08,2,3.45,0.91,1.72,0.19,2.24,1.43,0.53,3.11,1.03,3.31,,1.9,0.76,,,,,,,
May,,,,,,,,,1.02,1.22,2.46,2.35,0.23,0.65,2.1,0.16,0.45,1.07,4.1,1.19,,0.77,2.23,,,,,,,
June,,,,,,,,,2.51,0.23,2.2,2.36,2.09,0.42,1.94,0.66,3.51,2.66,1.6,0.94,,1.32,3.07,,,,,,,
July,,,,,,,,,3.68,3.55,3.97,3.04,2.1,5.53,6.36,3.6,1.76,0.45,0.43,1.04,,1.12,0.84,,,,,,,
August,,,,,,,,,1.13,2.78,2.89,5.37,3.12,0.84,2.23,2.23,1.47,3.16,1.28,1.31,,1.83,3.54,,,,,,,
September,,,,,,,,,0.9,0.43,1.17,1.78,2.92,4.65,4.85,1.25,5.44,4.16,0.75,3.81,,1.02,1.2,,,,,,,
October,,,,,,,,,2.48,6.45,1.53,4.4,6.66,4.87,4.14,4.85,6.31,0.26,3.04,2.53,,2.84,2.64,,,,,,,
November,,,,,,,,,3.2,1.1,3.31,2.23,3.11,2.49,2.65,5.59,1.88,1.78,2.29,4.47,,0.58,2.1,,,,,,,
December,,,,,,,,,1.42,1.44,0.39,2.39,2.5,1.59,2.16,2.62,4.5,2.64,1.91,2.76,,4.25,2.36,,,,,,,
Total,,,,,,,,,23.46,23.05,27.1,29.09,27.69,26.78,34.81,26.94,30.12,28.48,20.03,27.45,,19.29,23.58,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total for 1891 has been reduced by 2 to ensure totals match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
