"HAILSHAM (MAGHAM DOWN)",,,,,,,,,,,,
Grid ref,TQ609116,Long,0.285881,Lat,50.881494,,,,,,,
Station no,542,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.69,2.78,1.10,1.45,4.28,,,,,,,
February,6.67,1.12,1.37,2.39,1.72,,,,,,,
March,4.21,2.88,0.22,3.40,,,,,,,,
April,2.00,1.32,1.76,0.45,,,,,,,,
May,2.45,1.51,1.31,1.57,,,,,,,,
June,1.05,0.72,1.46,2.28,,,,,,,,
July,1.69,0.71,3.55,3.62,,,,,,,,
August,5.60,4.03,2.47,3.45,,,,,,,,
September,3.96,3.71,3.86,2.91,,,,,,,,
October,3.18,3.40,3.11,2.63,,,,,,,,
November,5.66,4.89,2.77,5.92,,,,,,,,
December,2.79,3.87,0.63,1.97,,,,,,,,
Total,42.95,30.94,23.61,32.04,,,,,,,,
Calc annual,42.95,30.94,23.61,32.04,6.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
