SEVENOAKS-TONBRIDGE-ROAD-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ5324953689,Long,0.19502971,Lat,51.261766,Elevation,556,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.44,2.66,3.8,0.76,3.48,1.63,1.57,3.11,4.49,3.86,3.29,4.2,1.93,2.66,3.01,3.3,2.76,4.19,1.35,3.45,2.03,2.75,1.92,3.45,2.24,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3.83,1.77,2.25,0.84,4.35,4.52,4.6,0.85,1.53,2.62,0.82,0.92,2.64,3.77,0.85,4.47,2.95,5,1.69,0.57,1.3,2.33,0.44,1.9,0.22,4.37,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.34,2.42,4.32,2.83,5.5,0.64,4,2.24,0.83,4.05,1.29,1.95,2.46,2.32,1.5,1.1,0.36,4.38,2.2,0,1.13,2.33,1.87,3.38,2.59,0.5,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.6,2.09,0,2.96,1.29,1.57,1.49,2.33,3.45,3.34,3.55,1.43,3.15,2.37,3.98,2.54,4.48,1.75,1.47,0.83,1.62,4.5,2.58,0.67,2.35,2.14,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.04,1.92,0.76,1.29,1.64,3.3,2.72,2.17,1.95,0.06,0.83,1.25,1.6,2.75,3.2,2.39,1.3,1.38,2.1,1.89,2.28,2.55,2.05,1.91,0.66,1.7,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.34,2.05,2.35,0.5,0.65,0.6,3.57,3.26,0.89,0.85,1.55,0,1.39,0.75,2.76,0.38,3.19,4.6,3.14,0.97,0.67,1.41,0.8,1.76,2.35,3.71,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.86,0.44,1.07,3.26,1.35,3.26,1.11,4.1,5.4,2.11,4.56,0.29,3.32,1.78,4.25,3.91,1.72,3,1.65,1.12,2.57,3.21,2.33,2.24,2.45,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.23,0.51,5.8,1.48,1.26,1.8,2.3,5.61,1.79,2.68,1.69,1.11,2.89,2.18,2.92,1.83,1.39,5.11,2.88,2.29,3.57,4.93,0.37,0.65,2.52,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.77,1.38,3.28,1.74,1.06,2.5,1.13,2.44,5.6,1.3,4.06,1.15,2.62,1.96,3.53,2.39,0.97,5.06,0.72,0.22,3.78,2.54,1.88,3.19,1.83,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.56,4.17,3.54,5,1.91,2.59,4.4,5.2,2.02,0.58,0.87,1.3,1.4,6.87,3.95,4.4,2.6,1.95,5.5,3.53,1.6,0.78,6.56,2.57,2.46,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,3.64,6.26,2.27,3.54,4.11,3.42,5.56,1.92,2.29,2.55,1.36,1.8,1.93,2.21,3.95,3.03,7.13,3.18,3.9,8.07,5.15,4.21,1.31,1.26,4.55,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,4.1,6.09,3.42,1.27,7.9,6.5,3.24,2.07,2.93,4.7,2.93,2.44,4.27,3.03,4.09,4.12,0.7,4.41,4.28,6.95,2.4,0.51,0.59,0.68,6.69,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,30.54,31.72,28.51,31.78,34.18,35.75,33.76,31.79,29.33,27.37,16.93,31.87,31.92,37.64,33.57,30.09,42.58,33.72,27.79,29.52,31.33,23.53,22.13,32.12,39.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
