"EAST GRINSTEAD (LOCHERIDGE)",,,,,,,,,,,,
Grid ref,TQ393391,Long,-0.010412,Lat,51.134239,,,,,,,
Station no,63,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.34,3.03,0.91,1.60,,,,,,,,
February,7.42,1.37,1.71,2.03,,,,,,,,
March,4.12,3.06,0.34,2.99,,,,,,,,
April,2.57,2.06,3.45,0.39,,,,,,,,
May,2.53,1.86,1.55,2.17,,,,,,,,
June,1.96,1.19,2.02,4.71,,,,,,,,
July,2.86,0.83,3.88,3.34,,,,,,,,
August,5.49,3.71,2.13,2.94,,,,,,,,
September,3.36,3.32,4.33,2.32,,,,,,,,
October,1.42,3.01,4.61,2.49,,,,,,,,
November,5.94,3.72,1.50,5.71,,,,,,,,
December,2.67,2.67,0.80,2.17,,,,,,,,
Total,43.68,29.83,27.23,32.86,,,,,,,,
Calc annual,43.68,29.83,27.23,32.86,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
