"RUGELEY (SLITTING MILL)",,,,,,,,,,,,
Grid ref,SK033173,Long,-1.952546,Lat,52.753304,,,,,,,
Station no,2346/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.33,2.90,0.82,1.22,2.54,3.82,1.22,1.72,3.37,5.76,,
February,2.77,0.62,1.36,2.58,2.45,0.68,2.10,4.22,0.38,2.26,,
March,4.37,1.91,1.41,2.11,3.30,1.32,1.99,1.73,1.99,2.17,,
April,2.39,2.35,2.68,0.34,1.43,1.57,0.24,0.59,2.93,1.32,,
May,3.52,3.25,2.61,2.42,3.87,0.96,1.03,2.45,0.73,1.60,,
June,1.83,2.24,2.85,3.13,3.07,1.99,1.47,3.69,1.30,2.67,,
July,0.97,1.11,2.34,3.25,0.65,2.22,4.56,6.99,1.56,3.80,,
August,5.60,1.65,2.81,4.11,1.20,4.80,4.15,3.57,1.91,4.07,,
September,1.60,1.25,2.11,2.29,2.42,2.91,5.67,3.17,0.13,4.94,,
October,0.83,3.88,1.63,4.19,1.70,2.05,1.78,2.56,2.40,6.29,,
November,6.44,1.67,1.66,4.53,2.30,0.87,2.01,1.76,3.84,3.66,,
December,2.46,3.30,1.34,3.41,1.85,3.29,1.23,3.54,3.90,3.16,,
Total,35.11,26.13,23.62,33.58,26.78,26.48,27.45,35.99,24.44,41.70,,
Calc annual,35.11,26.13,23.62,33.58,26.78,26.48,27.45,35.99,24.44,41.70,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
