RUGELEY-SLITTING-MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK033173,Long,-1.9525461,Lat,52.753304,Elevation,299,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2346/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.93,1.68,2.35,1.18,3.83,3.72,3.14,5.62,2.45,3.31,3.58,4.37,2.8,1.98,2.5,2.27,5.09,1.64,0.93,2.33,2.9,0.82,1.22,2.54,3.82,1.22,1.72,3.37,5.76
February,,0.16,3.62,0.27,2.58,2.19,4.93,0.68,1.11,2.61,2.67,1.11,1.21,2.04,2.35,3.37,2.04,1.34,0.61,4.39,2.77,0.62,1.36,2.58,2.45,0.68,2.1,4.22,0.38,2.26
March,0.09,2.03,2.72,2.48,0.56,2.01,2.35,0.57,1.13,2.06,2.77,1.94,1.06,0.34,0.97,0.7,5,0.79,1.76,0.79,4.37,1.91,1.41,2.11,3.3,1.32,1.99,1.73,1.99,2.17
April,3.71,2.8,0.88,1.77,2.89,2.15,2.17,0.22,2.13,3.09,1.56,1.11,1.52,2.35,1.59,1.14,1.8,2.44,2.83,2.27,2.39,2.35,2.68,0.34,1.43,1.57,0.24,0.59,2.93,1.32
May,3.48,5.58,1.23,0.78,0.65,0.77,2.41,1.53,1.51,1.98,2.44,3.29,3.31,0.57,4.04,2.63,2.72,1.71,2.12,1.18,3.52,3.25,2.61,2.42,3.87,0.96,1.03,2.45,0.73,1.6
June,5.35,0.56,1.66,1.17,3.55,4.69,1.07,2.23,1.17,0.72,1.1,0.19,2.07,2.28,2.32,2.29,1.82,3.68,0.34,1.21,1.83,2.24,2.85,3.13,3.07,1.99,1.47,3.69,1.3,2.67
July,3.55,2.68,2.08,1.2,0.49,5.08,2.55,4.11,4.66,2.97,4.04,2.25,1.54,2.71,1.58,1.94,3.65,1.9,2.31,1.89,0.97,1.11,2.34,3.25,0.65,2.22,4.56,6.99,1.56,3.8
August,6.44,2.32,1.24,2.27,1.62,0.93,0.56,2.58,3.55,0.43,3.55,2.33,2.5,1.93,2.74,5.94,0.91,4.93,1.77,3.28,5.6,1.65,2.81,4.11,1.2,4.8,4.15,3.57,1.91,4.07
September,2.34,2.57,0.98,1.83,3.63,3.16,2.86,3.37,1,0.71,0.21,1.19,3.05,3.02,1.68,4.67,1.87,2.09,1.23,3.96,1.6,1.25,2.11,2.29,2.42,2.91,5.67,3.17,0.13,4.94
October,0.92,5.23,4.36,2.68,3.61,1.83,2.17,2.39,3.51,3.48,2.7,2.49,1.79,3.18,4.43,0.67,0.46,2.59,4.36,1,0.83,3.88,1.63,4.19,1.7,2.05,1.78,2.56,2.4,6.29
November,3.62,1.95,1.11,2.21,5.12,3.05,1.69,3.03,4.12,6.96,3.01,1.1,1.84,3.97,0.32,5.26,2.62,1.39,2.97,3.49,6.44,1.67,1.66,4.53,2.3,0.87,2.01,1.76,3.84,3.66
December,1.01,0.89,0.31,4.49,3.85,2.25,3.19,3.39,1.97,2.16,1.53,3.08,1.02,1.53,2.1,2.71,2.61,4.38,2.18,2.02,2.46,3.3,1.34,3.41,1.85,3.29,1.23,3.54,3.9,3.16
Total,,28.7,21.87,23.5,29.73,31.94,29.67,27.24,31.48,29.62,28.89,23.66,25.28,26.72,26.1,33.82,27.77,32.33,24.12,26.41,35.11,26.13,23.62,33.58,26.78,26.48,27.45,35.99,24.44,41.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2947 SLITTING MILL P STA Start 1931 end 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is a pumping station near Slitting Mill; The observers were Chartered or Civil Engineers and worked for water company. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
