"ST ANDREWS WATERWORKS",,,,,,,,,,,,
Grid ref,NO506152,Long,-2.800406,Lat,56.326594,,,,,,,
Station no,5496,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.16,0.46,2.75,1.23,1.77,2.15,,
February,,,,,4.65,0.90,0.94,1.28,0.76,0.84,,
March,,,,,1.37,2.69,1.08,1.54,3.37,3.05,,
April,,,,,1.71,1.81,0.98,1.60,1.07,3.56,,
May,,,,,1.94,1.33,5.39,4.72,1.76,2.57,,
June,,,,,0.83,0.64,1.09,2.84,0.95,0.95,,
July,,,,,1.30,1.48,1.11,1.86,2.10,3.73,,
August,,,,,4.50,2.75,4.80,3.63,2.95,2.41,,
September,,,,,2.60,1.50,1.02,1.02,3.95,1.47,,
October,,,,,0.52,1.71,4.36,5.84,3.37,3.39,,
November,,,,,0.50,4.60,2.79,2.58,1.96,0.43,,
December,,,,,1.76,1.41,1.67,3.43,1.32,3.50,,
Total,,,,,23.84,21.28,27.98,31.57,25.33,28.05,,
Calc annual,0.00,0.00,0.00,0.00,23.84,21.28,27.98,31.57,25.33,28.05,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,,
