"ST ANDREWS (WATERWORKS)",,,,,,,,,,,,
Grid ref,NO505148,Long,-2.801947,Lat,56.322990,,,,,,,
Station no,5496,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.77,1.14,0.57,1.50,1.51,2.43,3.48,2.47,0.81,3.88,,
February,2.72,0.61,0.72,2.41,2.01,1.80,3.82,2.57,0.46,2.72,,
March,2.43,2.52,0.44,2.32,2.14,1.34,1.97,4.89,1.26,1.69,,
April,2.31,1.26,2.07,1.29,0.81,0.96,0.79,1.81,2.58,2.02,,
May,2.34,1.73,1.82,3.46,2.11,0.68,1.70,2.07,0.80,1.81,,
June,1.71,2.66,0.87,2.19,0.87,2.89,0.75,2.42,2.27,1.60,,
July,3.09,1.67,2.80,2.00,1.43,4.35,6.02,6.09,2.70,2.71,,
August,4.28,3.06,2.12,2.31,0.39,5.70,3.49,3.27,0.68,4.07,,
September,1.60,1.27,2.69,2.70,0.84,4.86,1.58,1.86,0.56,2.21,,
October,0.27,2.42,1.91,6.45,1.77,1.14,1.79,1.76,1.69,4.78,,
November,6.72,2.17,2.95,4.63,1.41,0.70,1.20,0.67,4.75,3.97,,
December,2.54,2.01,3.38,3.28,4.32,3.39,3.10,4.49,5.81,2.43,,
Total,33.78,22.52,22.34,34.54,19.61,30.24,29.69,34.37,24.37,33.89,,
Calc annual,33.78,22.52,22.34,34.54,19.61,30.24,29.69,34.37,24.37,33.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
