"RANNOCH STATION",,,,,,,,,,,,
Grid ref,NN472578,Long,-4.496254,Lat,56.686879,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,10.70,5.67,7.15,9.86,2.99,6.27,6.77,,
February,,,,10.92,3.83,4.50,2.19,4.82,4.37,2.63,,
March,,,,14.49,2.94,6.99,3.69,5.12,5.61,0.66,,
April,,,2.78,2.81,7.05,2.58,2.23,2.33,1.59,4.03,,
May,,,3.16,2.62,5.00,2.53,4.14,4.93,2.82,4.16,,
June,,,1.68,2.50,3.57,2.18,1.15,4.71,2.55,0.97,,
July,,,3.07,5.51,2.04,2.88,,2.33,3.47,3.99,,
August,,,3.02,7.62,4.05,4.25,,7.52,4.63,3.71,,
September,,,3.49,4.90,5.17,4.83,,1.54,7.26,2.27,,
October,,,4.25,10.61,3.62,4.26,,3.11,1.38,10.99,,
November,,,3.47,5.52,4.38,5.77,5.97,3.85,5.52,5.12,,
December,,,7.82,1.57,5.11,4.31,5.27,5.72,6.18,5.67,,
Total,,,,79.77,52.43,52.23,,48.97,51.65,50.97,,
Calc annual,0.00,0.00,32.74,79.77,52.43,52.23,34.50,48.97,51.65,50.97,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,0.00,0.00,0.00,,
