KENSINGTON CAMPDEN HILL RES. OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ251802,Long,-0.198844,Lat,51.506893,Elevation,142,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.23,2.21,1.51,3.11,1.11,0.84,0.97,2.73,1.99,0.54,1.54,3.18,1.72,0.92,1.92,0.88,2.57,2.64,0.53,0.7,2.05,2.63,1.13,3.83,0.7,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.48,1.32,2.94,0.5,0.53,0.77,2.16,0.76,0.01,1.01,2.77,1.76,0.12,0.29,2.35,1.4,1.89,3.47,1.12,0.75,0.83,2.24,0.66,1.67,1.27,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.8,1.09,1.14,1.29,1.65,3.14,1.38,1.86,1.89,1.15,0.33,1.28,1.31,3.42,3.71,1.21,0.45,0.66,1.74,1.19,2.4,1.34,3.25,0.96,1.08,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.47,0.96,1.65,1.23,1.58,2.17,2.23,1.75,1.21,1.04,0.14,1.65,2.09,0.68,1.71,1.1,2.21,0.94,2.12,0.37,1.69,1.18,1.45,0.64,3.27,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.91,1.57,2.18,4.65,1.77,1.21,3.48,1.24,2.51,1.53,0.9,2.03,0.53,0.2,1.57,2.32,1.25,1.11,0.6,2.14,2.33,2.07,1.25,1.1,1.57,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.36,1.91,2.28,0.76,1.1,2.53,1.58,3.21,1.12,2.29,0.86,1.93,0.35,1.65,1.71,1.22,1.97,1.9,1.59,3.58,5.83,0.69,4.49,2.59,2.9,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.49,2.14,2.02,0.5,2.34,0.76,5.48,3.35,4.56,3.43,1.76,3.03,2.79,3.88,1.12,0.72,0.77,1.49,1.08,1.93,1.11,4.37,1.85,0.65,0.42,1.5,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.31,0.93,0.83,0.71,0.64,3.35,2.8,1.99,1.36,4.66,3.19,1.81,2.65,3.58,2.1,3.32,1.2,0.6,3.01,1.69,2.91,3.9,1.66,2.74,0.68,2.15,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.24,3.58,1.76,3.89,2,2.05,1.14,1.69,0.98,1.51,2.42,1.05,1.17,1.48,5.13,2.89,0.34,2.34,0.79,1.36,0.88,2.95,1.03,1.13,1.67,0.67,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.93,1.85,0.84,2.86,2.16,1.37,1.22,4.06,1.16,5.41,3.7,4.19,4.61,3.02,3,0.69,3.27,2.15,1.77,1.76,1.28,5.62,1.48,1.21,3.08,2.7,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,2.51,2.71,1.6,3.32,2.72,3.27,4.28,0.82,1.83,2.06,2.49,2.12,2.88,3.19,1.19,1.12,1.86,4.24,1.55,0.51,1.48,1.9,1.77,2.81,3.78,1.94,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,2.15,0.81,3.12,0.99,4.13,1.54,1.34,1.49,0.62,3.46,1.24,2.45,2.37,2.37,3.5,2.35,2.49,1.15,2.43,2.99,1.33,1.35,1.85,0.71,1.89,3.59,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,23.27,19.23,23.97,25.53,20.08,26.92,25.2,22.06,29.26,22.36,21.19,28.3,23.64,23.2,24.06,18.06,22.31,21.35,17.94,17.72,35.22,19.79,21.48,22.31,23.34,21.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Gauge removed from use 1909.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
