"KENSINGTON, CAMPDEN HILL RESERVOIR",,,,,,,,,,,,
Grid ref,TQ250801,Long,-0.200320,Lat,51.506016,,,,,,,
Station no,25,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.98,1.60,0.89,1.12,2.10,3.43,1.33,1.84,2.50,1.54,,
February,4.96,0.73,1.19,2.56,1.40,0.19,2.95,2.33,0.06,2.06,,
March,3.12,2.39,0.45,2.07,1.01,1.01,1.11,1.20,1.59,1.67,,
April,2.58,1.35,2.75,0.31,0.37,1.03,0.26,1.65,2.35,0.56,,
May,1.97,1.86,1.61,2.59,4.28,0.23,1.32,2.42,0.71,1.77,,
June,1.15,1.62,2.12,3.41,2.12,2.09,0.80,4.68,1.36,1.37,,
July,0.97,0.52,4.42,2.69,0.25,5.83,3.36,1.96,1.23,3.80,,
August,2.79,2.56,2.05,4.29,0.88,4.41,1.79,3.34,1.96,3.54,,
September,2.52,3.21,1.82,1.77,2.05,1.78,2.34,4.06,0.04,4.48,,
October,1.02,3.23,2.83,2.16,2.70,2.39,1.83,2.75,1.81,5.25,,
November,5.00,3.88,1.00,3.40,0.60,0.39,2.35,1.80,2.24,3.90,,
December,1.69,2.81,0.60,1.77,1.72,2.46,1.99,2.55,3.22,2.41,,
Total,30.75,25.76,21.73,28.14,19.48,25.24,21.43,30.58,19.07,32.35,,
Calc annual,30.75,25.76,21.73,28.14,19.48,25.24,21.43,30.58,19.07,32.35,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
