"WOKINGHAM (BUCKS COPSE)",,,,,,,,,,,,
Grid ref,SU805681,Long,-0.844050,Lat,51.406223,,,,,,,
Station no,776,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.70,1.67,0.85,1.13,2.31,3.39,1.79,2.99,2.65,2.35,,
February,4.90,0.62,1.19,2.33,1.25,0.20,3.07,2.24,0.17,1.88,,
March,3.57,1.72,0.19,2.40,0.99,0.60,1.19,1.46,2.63,1.17,,
April,2.50,1.15,2.62,0.28,0.35,1.34,0.41,1.17,2.13,0.51,,
May,2.32,2.98,2.04,2.57,3.97,0.24,1.18,1.95,0.34,1.96,,
June,0.95,1.18,1.34,5.24,2.49,1.98,1.29,4.16,0.78,1.25,,
July,1.28,0.35,3.68,2.83,0.18,3.55,4.72,1.51,3.50,2.63,,
August,4.04,1.94,1.89,3.30,0.68,4.69,2.16,3.97,1.37,3.04,,
September,3.19,2.36,1.92,2.50,1.73,2.58,2.92,3.31,0.26,3.10,,
October,0.63,2.65,3.06,2.38,3.69,2.66,2.12,2.69,2.62,7.38,,
November,5.22,2.58,1.14,4.47,1.67,0.66,2.50,2.38,2.20,3.71,,
December,1.75,2.08,0.64,2.44,2.68,3.74,2.41,2.37,3.71,2.97,,
Total,33.05,21.28,20.56,31.87,21.99,25.63,25.76,30.20,22.36,31.95,,
Calc annual,33.05,21.28,20.56,31.87,21.99,25.63,25.76,30.20,22.36,31.95,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
