WOKINGHAM-STAVERTON,,,,,,,,,,
Grid ref,SU817682,Long,-0.8267781,Lat,51.406951,Elevation,220,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2,1.06,3.81,,,,,,,
February,2.95,1.42,1.93,,,,,,,
March,0.88,1.5,3.27,,,,,,,
April,1.97,1.65,0.04,,,,,,,
May,1.8,3.77,2.06,,,,,,,
June,4.33,1.57,4.07,,,,,,,
July,3.27,0.59,1.57,,,,,,,
August,2.06,0.8,4.65,,,,,,,
September,0.39,1.24,2.55,,,,,,,
October,3.33,2.57,2.17,,,,,,,
November,2.99,3.44,2.06,,,,,,,
December,3.95,5.9,,,,,,,,
Total,29.92,25.51,,,,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is Staverton, 25 Murdoch Road. Altitudes match. Gauge move 565 ft S by W in Dec 1912",,,,,,,,,,
