ARDNAMURCHAN CAMUSINAS,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 65753 60994,Long,-5.826111,Lat,56.68181,Elevation,11,ft,,,,,,,,,,,,
Station no,RR8278,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,6.85,11.5,22.4,6.15,17.3,16.35,4.15,,,,,,,,,
February,,,,,5.37,6.92,11.8,9.72,20.15,7.55,6.25,,,,,,,,,
March,,,,,5.25,7.78,7.2,3.65,17,3.6,2.53,,,,,,,,,
April,,,,,4.8,2.18,4.13,13.4,5.17,0.3,5.08,,,,,,,,,
May,,,,,3.7,5.35,3.33,3.67,6.58,0.25,3.03,,,,,,,,,
June,,,,,5.62,2.25,2.42,3.99,7.18,1.48,3.7,,,,,,,,,
July,,,,,4.82,5.22,5.05,3.98,2.25,1.57,4.5,,,,,,,,,
August,,,,,3.48,5.35,10.48,6.4,4.65,1.82,2.65,,,,,,,,,
September,,,,,9.35,6.08,11.19,9.1,2.05,12.68,6.95,,,,,,,,,
October,,,,,5.88,5.28,8.53,14.12,14.95,8.57,10.7,,,,,,,,,
November,,,,,11.82,10.2,11.93,5.35,8.82,10.95,4.9,,,,,,,,,
December,,,,,8.68,13.55,16.67,10.77,11.6,10.4,4.67,,,,,,,,,
Total,,,,,75.62,81.66,115.13,90.3,117.7,75.52,59.11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8278,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
hyd Stn,,,,,,,,,,,,,,,,,,,,
