FAIRLIE (SOUTHANNAN),,,,,,,,,,,,,,,,,,,,
Grid ref,NS208539,Long,-4.8564413,Lat,55.745215,Elevation,25,ft,,,,,,,,,,,,
Station no,5215/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,6.73,4.79,4.95,3.42,5.94,6.78,8.3,5.24,3.03,1.29,7.41,,,,,,,,
February,,0.07,4.1,0.54,5.72,2.63,7.08,3.11,5.21,2.59,5.36,2.26,,,,,,,,
March,,2.86,2.48,3.2,2.44,4.63,2.69,3.69,4.52,4.9,3.29,,,,,,,,,
April,,4.65,2.43,4.32,4.26,2.16,2.87,0.44,3.3,3.8,2.08,,,,,,,,,
May,,2.91,3.46,3.61,1.12,3.24,1.77,4.52,1.26,1.36,3.23,,,,,,,,,
June,5.33,2.26,2.91,3.27,4.28,1.81,4.43,5.34,2.72,1.02,1.6,1.97,,,,,,,,
July,5.11,4.42,4.53,3.85,2.8,7.04,5.45,5.41,6.61,3.49,3.47,4.28,,,,,,,,
August,2.34,3.62,4.16,5.16,1.69,3.98,3.71,3.77,1.99,2.27,4.91,,,,,,,,,
September,2.06,4.63,1.04,5.96,6.29,4.64,3.5,4.21,3.65,5.25,2.03,,,,,,,,,
October,4.37,7.18,3.43,9.52,10.8,5.41,3.72,10.66,3.56,5.9,5.09,,,,,,,,,
November,8.49,4.54,4.56,2,6.58,4.34,1.47,9.9,8.14,8.13,3.73,,,,,,,,,
December,4.33,7.93,2.24,9.26,5.04,6.75,3.73,4.44,3.65,7.48,2.34,,,,,,,,,
Total,,51.8,40.13,55.64,54.44,52.57,47.2,63.79,49.85,49.22,38.42,,,,,,,,,
