WHITCHURCH-THE-MEAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST617671,Long,-2.5514,Lat,51.40176,Elevation,300,ft,,,,,,,,,,,,,
Station no,1987,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,0.55,4.81,2.33,4.6,3.09,2.82,0.94,4.13,4.33,4.41,,
February,,,,,,,,,,1.46,0.43,2.29,0.06,4,0.2,3.22,2.65,4.72,1.12,,
March,,,,,,,,,,0.28,2.14,0.61,2.18,3.42,2.16,0.75,2.58,3.21,0.22,,
April,,,,,,,,,,0.64,2.13,2.18,3.41,1.21,2.35,4.6,1.9,2.37,0.15,,
May,,,,,,,,,,2.27,2.19,3.56,5.91,1.9,1.32,1.1,0.68,2.63,1.6,,
June,,,,,,,,,,1.37,1.14,3.29,1.33,2.13,1.35,4.51,2.74,1.51,1.53,,
July,,,,,,,,,,1.14,2.43,5.27,3.72,2.02,1.86,0.69,5.9,2.73,3.9,,
August,,,,,,,,,,4.07,5.25,4.26,1.07,1.28,3.28,1.6,0.39,1.02,2.85,,
September,,,,,,,,,,0.69,4.5,1.65,4.76,2.55,2.2,6.46,3.79,1.65,2.53,,
October,,,,,,,,,,5.46,3.19,1.26,6.62,2.82,2.18,6.29,1.52,3.12,6.04,,
November,,,,,,,,,,8.66,4.83,4.48,2.08,0.56,1.35,6.11,3.99,1.68,5.02,,
December,,,,,,,,,,7.96,3.39,1.87,1.94,0.98,6.89,4.18,3.18,1.96,3.56,,
Total,,,,,,,,,,34.55,36.43,33.05,37.68,25.96,27.96,40.45,33.45,30.93,32.93,,
,,,,,,,,,,,,,,,,,,,,,
The Mead Charlton Lane Now Queen Charlton Lane,,,,,,,,,,,,,,,,,,,,,
According to 2019 OS map The Mead is where Ennerdale Ho is marked on older maps,,,,,,,,,,,,,,,,,,,,,
1937 Low,,,,,,,,,,,,,,,,,,,,,
1938 Dec Station terminated as observer moved to Over Stowey,,,,,,,,,,,,,,,,,,,,,
