BURGH BY SANDS VICARAGE,,,,,,,,,,
Grid ref,NY329590,Long,-3.0484198,Lat,54.921164,Elevation,70,ft,,
Station no,RR8857,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,0.9,1.7,1.82,,,,
February,,,,3.73,5.78,0.54,,,,
March,,,,1.18,1.7,2.93,,,,
April,,,,0.54,1.99,1.05,,,,
May,,,,2.1,3.09,0.89,,,,
June,,,1.01,1.57,3.4,1.24,,,,
July,,,2.77,3.3,3.08,3.02,,,,
August,,,6.84,4.1,6.23,3.7,,,,
September,,,6.11,2.68,0.34,,,,,
October,,,3.28,3.1,1.88,,,,,
November,,,2.81,1.6,3.17,2.81,,,,
December,,,1.99,4.1,1.26,1.46,,,,
Total,,,,28.9,33.62,,,,,
