MELBOURNE-THE-HOLLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK387249,Long,-1.4271764,Lat,52.820253,Elevation,182,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,2.45,3.26,,,,,0.64,0.93,2.36,1.92,0.99,1.25,1.31,3.81,1.03,2.47,0.78,2.17,3.62,1.32,1.02,2.16,2.31,1.11,2.96,1.08,0.88,
February,,,1.55,2.99,,,,,0.67,1.45,0.8,0.06,1.41,2.28,1.95,0.1,0.62,3.04,1.37,1.36,3.68,1.25,1.48,1.01,2.95,0.67,2.6,1.21,1.06,
March,,,2.29,1.54,,,,,2.22,3.65,0.99,1.26,0.78,0.23,0.77,1.56,2.11,2.17,1.07,0.91,0.56,2.03,1.27,3.42,1.74,2.32,1.21,1.22,2.93,
April,,,3.63,2.27,,,,,2.19,3.16,0.57,2.23,0.68,0.63,0.89,1.87,0.93,2.07,2.09,2.85,1.07,1.38,2.28,1.86,1.04,1.27,0.64,1.58,2.61,
May,,,2.33,1.74,,,,,0.57,3.25,1.93,2.48,1.57,2.08,1.69,0.69,0.41,1.59,2.35,2.74,1.9,0.79,3.01,2.74,1.17,0.42,1.76,4,1.93,
June,,,3.9,3.37,,,,,1.67,0.51,1.47,3.86,3.25,0.96,1.87,0.91,2.2,3.11,2,2.23,4.19,2.31,2.36,1.39,0.49,2.39,2.54,2.54,1.55,
July,,,4.38,1.64,,,,,4.96,2.63,2.37,2.02,1.77,2.91,2.56,2.65,1.7,0.34,1.11,1.32,3.04,3.75,1.53,1.95,1.64,1.17,0.57,2.59,2.75,
August,,,1.54,1.82,,,,,2.41,3.6,2.59,4.08,2.37,1.2,1.91,2.77,1.81,2.35,2.27,1.22,5.06,1.05,4.39,4.48,3.39,3.55,1.31,2.67,3.68,
September,,,1.77,4.7,,,,,1.07,2.47,1.34,0.86,3.59,2.76,0.64,0.64,3.28,2.34,0.59,2.45,0.82,0.65,1.62,2.53,1.67,1.68,1.07,0.61,2.08,
October,,,6.08,,,,,,0.43,2.7,1.83,4.67,2.86,1.97,2.2,2.7,2.36,1.08,2.3,3.2,2.59,1.37,2.03,4.94,0.57,1.26,5.09,3.76,0.89,
November,,,3.92,,,,,,3.27,0.8,3.19,2.06,1.02,1.2,1.97,2.84,1.21,1.44,2.11,1.17,1.98,1.5,1.54,1.9,1.2,2.57,2.77,1.96,1.61,
December,,,5.19,,,,,,1.85,1.76,0.76,3.34,1.27,2.68,1.69,1.85,3.46,2.26,2.1,2.25,3.55,5.18,1.12,1.42,1.3,0.76,1.97,2.78,1.27,
Total,,,39.03,,,,,,21.95,26.91,20.2,28.84,21.56,20.15,19.45,22.39,21.12,24.26,20.14,23.87,32.06,22.58,23.65,29.8,19.47,19.17,24.49,26,23.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is The Hollow on Penn Lane, probably no 70. Altitudes match. Based on relationship to church NGR might be 100m W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
