SAUNDERSFOOT-HEAN-CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN138059,Long,-4.697104,Lat,51.720829,Elevation,206,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,6.21,2.38,2.26,1.63,3.32,2.09,4.1,5.47,1.39,3.78,2.43,1.7,4.66,4.74,4.52,4,5.08,2.36,3.96,2.69,6.23,5.32,8.34,2.12,6.65,3.91,4.61,3.29,3.76,1.27,6.1,4.36,4.86,6.4,5.79,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.55,1.68,2.52,0.35,3.39,2.52,2.59,1.9,3.12,5.81,4.46,2.13,2.49,3.9,1.52,0.15,4.38,7.74,0.41,6.53,4.21,2.77,3.86,1.5,0.7,3.57,0.04,3.74,0.11,4.23,2.99,6.6,1.74,4.65,4.13,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.54,1.33,2.97,3.29,0.93,2.55,5.51,4.72,4.22,1.06,1.98,2.86,2.23,4.67,4.28,2.77,4.05,1.2,2.27,0.91,0.65,3.77,4.46,0.85,2.92,2.03,1.78,2.12,3.28,1.01,3.32,2.82,0.55,2.3,3.33,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.77,3.61,2.34,2.41,1.62,1.43,0.1,4.07,1.01,1.41,2.07,2.16,2.56,2.42,6.05,1.05,2.68,3.73,3.05,2.57,1.64,1.59,1.28,1.01,2.28,2.64,3.84,1.33,2.68,4.22,2.97,2.69,0,3.51,2.43,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.94,2.69,1.73,0.94,2.1,1.25,1.56,2.95,1.74,2.45,2.61,2.88,1.22,1.47,3.11,1.83,1.65,2.7,3.79,3.92,2.09,1.85,1.06,3.43,1.8,3.83,3.68,2.04,1.48,1.37,1.34,2.73,3.58,0.87,0.95,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.31,2.9,1.36,1.66,2.47,2.12,4.35,1.72,1.17,2.65,3.08,2.95,1.41,2.32,2.84,0,1.55,0.97,2.93,0.02,2.12,3.41,5.1,1.55,1.97,3.24,1.63,1.82,1.65,3.97,2.97,1.64,3.28,1.63,0.57,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.38,1.16,3.21,2.68,2.07,0.61,3.4,0.62,3.89,3.33,1.6,3.36,4.38,1.09,5.79,2.49,5.01,4.07,5.46,2.26,4.13,4.12,2.05,2.18,3.49,4.63,3.33,1.76,1.1,1.04,6.52,2.59,4.31,8.94,2.47,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,4.4,2.99,4.59,2.14,6.01,2.47,5.3,1.23,3.38,1.5,2.79,8.1,3.16,3.51,2.54,4.56,4.63,3.73,4.02,3.45,2.94,5.65,3.28,2.04,5.29,2.94,0.56,1.72,4.3,1.59,1.04,0.63,4.23,3.64,0.19,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.6,0.85,1.92,3.09,0.1,2.92,0.87,4.12,1.77,1.57,2.58,2.33,8.03,1.57,4.19,1.53,4.96,2.89,4.79,3.46,1.2,4.78,2.13,1.32,5.31,3.09,3.54,1.59,3.25,6,3.23,4.31,2.41,1.61,1.17,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,7.55,7.18,2.9,5.05,2.92,4.23,4.74,3.63,2.31,4.93,9.72,4.48,4.33,1.4,4.66,2.38,1.03,5.12,6.47,5.72,3.21,2.23,9.14,6.93,6.95,1.27,7.56,7.41,3.98,7.08,1.62,5.26,5.51,1.75,5.05,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
